config,rebal_date,n_long,n_short,one_way_turnover,longs,shorts,period_ret_net
lt_mom_6_21d,2020-10-12,96,96,0.32291666666666663,"AAPL,ADBE,ALB,ALGN,AMD,AMP,AMZN,APTV,BBY,BLDR,CARR,CDNS,CHRW,CMG,CMI,COF,CPRT,CRL,CRM,CRWD","AFL,ALL,AMT,ATO,AVB,BAX,BDX,BIIB,BKR,BMY,BXP,C,CAH,CB,CBOE,CCEP,CCI,CF,CI,CIEN",-0.028315283541146874
lt_mom_6_21d,2020-11-10,96,96,0.46354166666666663,"ACGL,AES,ALB,ALGN,AMP,APO,APTV,BA,BALL,BG,BLDR,CARR,CAT,CBRE,CFG,CINF,CMI,COF,CRWD,CTAS","AKAM,ALL,ALNY,AMGN,AMT,AON,APA,ATO,BAX,BDX,BIIB,BMY,BSX,CBOE,CCI,CIEN,CLX,CME,CNC,COP",0.014793562253596404
lt_mom_6_21d,2020-12-10,96,96,0.3645833333333333,"AAPL,AES,ALB,ALGN,AMAT,AMD,APO,APTV,BG,BKR,BLDR,CARR,CAT,CBRE,CFG,CRWD,CTSH,CTVA,CVNA,DAL","AEP,AKAM,ALNY,AMGN,AMT,ATO,AVB,AZO,BAX,BDX,BIIB,BSX,BXP,CAH,CBOE,CCI,CIEN,CLX,CME,CMS",0.030641893602932013
lt_mom_6_21d,2021-01-12,96,96,0.28125,"AES,ALB,ALGN,AMAT,AMD,APTV,BG,BKR,BLDR,CARR,CF,CFG,COF,CRWD,CTVA,CVNA,DAL,DD,DE,DECK","AEE,AEP,AKAM,ALNY,AMGN,AMT,AMZN,AON,APD,ARE,ATO,AVB,BAX,BDX,BIIB,BSX,BXP,CCI,CHD,CIEN",0.00591368314839702
lt_mom_6_21d,2021-02-11,96,96,0.30729166666666663,"AES,ALB,ALGN,AMAT,ANET,APTV,ASML,AVGO,AVY,AXON,BG,BLDR,CBRE,CFG,COF,CRWD,CTVA,CVNA,DAL,DDOG","AEE,AEP,AKAM,AMCR,AMGN,AMT,APD,ARE,ATO,AZO,BAX,BDX,BIIB,BMY,BRO,BSX,CAH,CBOE,CCI,CHD",0.006499495461863347
lt_mom_6_21d,2021-03-15,96,96,0.23958333333333331,"AES,AIG,ALB,ALGN,AMAT,APA,APTV,AXON,BA,BG,BKR,CBRE,CCL,CFG,COF,COP,CRWD,CTVA,CVNA,DAL","ADBE,AEE,AEP,AKAM,AMGN,AMT,AMZN,APD,ARE,ATO,AWK,AZO,BALL,BAX,BDX,BIIB,BMY,BSX,CCI,CHD",-0.02137565250486606
lt_mom_6_21d,2021-04-14,96,96,0.19270833333333331,"AIG,ALB,ALGN,AMAT,APA,ASML,AVY,AXON,BA,BAC,BG,BKR,C,CBRE,CCL,CF,CFG,COF,DE,DIS","ADBE,AEE,AEP,AKAM,ALNY,AMCR,AMD,AMT,AMZN,APD,ARE,ATO,AWK,BALL,BBY,BIIB,BMY,BRO,BSX,CHD",-0.0029311461062365707
lt_mom_6_21d,2021-05-13,96,96,0.31770833333333326,"ALL,AMAT,APA,APO,ASML,AVY,BAC,BEN,BG,BLDR,BX,C,CAT,CBRE,CCEP,CCL,CF,CFG,COF,COP","AEE,AEP,AMCR,AMD,AMGN,AMZN,APD,ATO,AWK,BALL,BAX,BDX,BMY,CAH,CHD,CL,CLX,CMS,CNC,CNP",0.002298580122146676
lt_mom_6_21d,2021-06-14,96,96,0.32291666666666663,"ADM,ALNY,AMAT,APA,APO,ASML,AVY,AXP,BAC,BEN,BIIB,BX,CBRE,CF,CINF,COF,COP,CPT,CRL,DE","AAPL,ABNB,ABT,ADSK,AEP,AMCR,AMD,AMGN,APH,ATO,BA,BALL,BAX,BDX,CAH,CHD,CHTR,CL,CLX,CMG",-0.02353165924008893
lt_mom_6_21d,2021-07-14,97,97,0.40206185567010305,"ADBE,AMAT,AMT,APO,ARES,ASML,AVB,AVY,AXON,AXP,BIIB,BX,BXP,CBRE,CCEP,CCI,CDW,CINF,COF,CPT","ABNB,ADSK,AES,ALB,AMCR,AMD,APD,BALL,BAX,BBY,BDX,BKNG,BKR,CAH,CHRW,CL,CLX,CMI,CPAY,CSGP",-0.0013499850960457804
lt_mom_6_21d,2021-08-12,97,97,0.4072164948453608,"ADBE,ADP,AIG,AIZ,ALB,ALL,AMP,APO,ARES,ASML,AXP,AZO,BAC,BLK,BX,CARR,CBOE,CBRE,CINF,COF","ABNB,ABT,AES,AMGN,AMZN,AVGO,AXON,BALL,BAX,BBY,BDX,BKNG,BKR,CAH,CHD,CHRW,CI,CIEN,CL,CLX",-0.004958050158620497
lt_mom_6_21d,2021-09-13,97,97,0.42783505154639173,"A,ACN,ADBE,ALB,ALGN,ALNY,AMD,AMT,AON,APO,ARES,ASML,AWK,BLK,BX,CARR,CDNS,CHTR,COST,CPRT","ABNB,AES,AMGN,APA,BA,BKNG,C,CAH,CAT,CCL,CF,CHRW,CI,CIEN,CLX,CME,CMI,CPAY,CTVA,CVX",-0.05037528984941386
