date,momentum_5d,momentum_10d,momentum_15d,fade_5d,fade_10d,fade_15d,baseline_mom10_10d,reversal_5_5d,reversal_5_10d,reversal_10_10d,reversal_10_15d,lt_mom_3_21d,lt_mom_6_21d,lt_mom_12_1_21d,buyhold_eqw
1997-01-02,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9883083479793208
1997-01-03,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,1.000590483009179
1997-01-06,0.9995428412675228,0.9995428412675228,0.9995428412675228,1.0027985856257722,1.0027985856257722,1.0027985856257722,0.997398477851737,1.000835325552294,1.000835325552294,1.0016015221482633,1.0016015221482633,1.0048334142792406,1.004016477086667,1.0042705179727833,1.0011836688054614
1997-01-07,0.9950445633550556,0.9950445633550556,0.9950445633550556,1.006615644298388,1.006615644298388,1.006615644298388,0.9912508800773376,1.0085881303899875,1.0085881303899875,1.0077750259435128,1.0077750259435128,1.001422027144623,1.0011793292129765,0.9997239985252888,1.0076717366798054
1997-01-08,0.9950861680665466,0.9950861680665466,0.9950861680665466,1.0064932945281175,1.0064932945281175,1.0064932945281175,0.9892696402352303,1.0122736698388721,1.0122736698388721,1.0097892930411865,1.0097892930411865,1.0012403192671928,1.0039245039001226,1.00287958586019,1.004120036138928
1997-01-09,0.9961494902296106,0.9968096916295779,0.9968096916295779,1.007257373713195,1.0077993316410176,1.0077993316410176,0.9911861181287096,1.0099963406039612,1.0108462684965616,1.0078330631333068,1.0078330631333068,1.0021034468955443,1.0051889728014654,1.0038882903686874,1.0115168101975256
1997-01-10,1.0020153964207161,1.0026794854695928,1.0026794854695928,1.01057892247067,1.0111226675680176,1.0111226675680176,0.9942542488605765,1.0113332956055652,1.012184348566942,1.0047134032258127,1.0047134032258127,1.010112088204882,1.0019273163302687,1.0000618928182212,1.0129550362763493
1997-01-13,0.9970560671046721,1.0025635448423096,1.0025635448423096,1.0108722816512015,1.0131335455063255,1.0131335455063255,0.9942054603877946,1.0169943057659832,1.0140321155260998,1.0047627049336838,1.0047627049336838,1.0092176135760167,1.0004141106958808,0.9998380946241839,1.0104460791883836
1997-01-14,0.997891393870909,1.0072906444491392,1.0072906444491392,1.014547668198054,1.0158190663249524,1.0158190663249524,0.9952283201417446,1.0120984524693288,1.018686915009153,1.0037289836616785,1.0037289836616785,1.0096141657470052,1.001680566890493,1.0025104944840872,1.019077873001979
1997-01-15,1.0028505309907891,1.0082721961394456,1.0082721961394456,1.0151731546682075,1.015514011593506,1.015514011593506,0.9952789603864115,1.0094895824038699,1.0164644413087478,1.0036779108773906,1.0036779108773906,1.0043135553715747,1.0023833155879984,0.9950117448675612,1.0118069505353766
1997-01-16,1.0028482721665222,1.0076558275756278,1.008426299725508,1.0150546866396233,1.0139999141493605,1.0147759201393518,0.9946038005533046,1.0079649375010686,1.0151397758199203,1.0028248453978592,1.003591806820322,1.0045567117437415,1.0005124888464911,0.9967196977159818,1.0151593164358799
1997-01-17,1.00471642519301,1.0076235453832048,1.0083939928495278,1.0135419176255358,1.0117148901626423,1.0124891474421294,0.9949225096194471,1.0068318390068156,1.0150098841037782,1.002503501994784,1.003270217653498,1.0027038809308209,1.000525227181783,0.9979798891400269,1.0213586913190582
1997-01-20,1.0018074961295969,1.0047061994110997,1.006429553110591,1.0106353145788682,1.0088135266068115,1.0091582659624532,0.9885485118975158,1.0094595424830994,1.0176589312411362,1.0089260675475396,1.0032683857600515,1.0009213036334348,1.0024074129985396,1.002858468904458,1.0256458378415214
1997-01-21,1.0021226232663114,1.005022238359783,1.0087862679691628,1.011329238905773,1.009506200054221,1.0123845788264891,0.9896777785644734,1.0090873573173589,1.0172837229816158,1.0077735226154563,1.0011513930273288,1.0024879139483287,0.9991108577770901,0.9998079303752637,1.0312333214821727
1997-01-22,1.0038978233076685,1.0068025748951324,1.0101005353669328,1.01276502437726,1.010939397355015,1.010558353677855,0.9909131077655812,1.0066448866540567,1.0148214132206028,1.0065156060616505,1.0014489243377795,0.9987577587737576,0.9986614172126235,0.9994325992839301,1.0328479969460571
1997-01-23,0.9949993010593984,0.9984861858099113,1.0034621398528163,1.0095280060014349,1.008261369601484,1.0077395324007201,0.984621223516046,1.0100310308631535,1.0190201120931244,1.0129065596569364,1.0027597756396107,0.9975969952165642,0.9981111350547947,0.9957176400449642,1.0280019500733386
1997-01-24,0.9936936677644154,0.9971759770415373,0.9983521974672606,1.0030199279642231,1.0017614571312368,1.0075713171760758,0.9806867527727989,1.0119162620014903,1.0209221214247264,1.0169540564297381,1.0052889853617302,0.9946338169971701,0.9939214963050098,0.9963641247149068,1.0208594049562971
1997-01-27,0.9921032945142398,0.9946775681875891,0.9967543683971831,1.0023293124531256,0.9995878633398155,1.0068775678688302,0.9783068285650811,1.0139002142716005,1.0191419031096265,1.0194219938931441,1.0046632952868395,0.9926822552681016,0.9900798751350796,0.9966345960427346,1.0139937129682228
1997-01-28,0.9946878336066496,0.9951247113880267,0.9993510240527962,1.0026650432047135,1.000092293096918,1.007214822061058,0.9796735101708987,1.011806252886507,1.0175518933258663,1.0179978749491283,1.0014481262515884,0.9930360218899881,0.9930919188503796,0.9995815929890635,1.0152127128744572
1997-01-29,0.9973848185576333,0.9981747298718099,1.0020606527237812,1.0034872722781367,0.9981958891793004,1.0080407821516126,0.9820475366376873,1.0133952508244983,1.0130179576188276,1.0155309776887929,0.9993770653443562,0.9916538275904644,0.9919527584374574,0.9988401927126623,1.0177597440298822
1997-01-30,0.998497032027973,1.0029304755721509,1.0036980174869747,1.0081343680796528,1.0030400916028561,1.0133461228662923,0.9875958516990307,1.0127026702100002,1.0086130136750295,1.0081264861490773,0.9968585620048356,0.994979439407721,0.9943114249012046,1.0007439274158494,1.0284472139042766
1997-01-31,1.0000041453889934,1.0029882725064174,1.0052129811213804,1.0073684489313723,1.0031395788149708,1.0125762441438582,0.9848237255434633,1.01185574793723,1.006296864910303,1.0109562406438601,0.9958914865299029,0.9907114870599372,0.9914223216087341,0.9984779762923122,1.0351351048842479
1997-02-03,1.0013036463878398,1.0042916513653581,1.004539223898916,1.0066574987549048,1.0024316131631414,1.0122641213739803,0.9877138445228546,1.0090101095591453,1.003466859759497,1.0079894317189366,0.9953068347466453,0.9888512590383672,0.9925744979891395,1.000595596434937,1.0353071522956947
1997-02-04,1.0005604589647124,1.0035462461856814,1.003865828570363,1.0041816025054378,0.9999661105721931,1.007974241348606,0.9882969033137844,1.0099215129430856,1.0043732561206358,1.0073944040167464,0.9974246601789758,0.9835196447576458,0.987456314770594,0.9997410817002546,1.036435993201907
1997-02-05,0.9986807794233248,1.0016609574648545,0.9999180923541156,1.0019069354885206,0.9977009924659875,1.0021149005704961,0.9866214516535623,1.0116533723419454,1.0060956011160471,1.0091022315137759,0.9997283195984688,0.9778752490562126,0.9826774383414209,0.9992617866287515,1.0280169365599858
1997-02-06,0.9999871140409516,1.003575966762027,1.0020872277509814,1.0038068809415015,1.0000824002888034,1.003206448939286,0.9894025710237313,1.0132861544624794,1.0085356793813955,1.006257742619033,0.9961077515155028,0.9800199290840585,0.9850916516124781,0.997764080411431,1.030634877156721
1997-02-07,1.0044151630960914,1.0080199076378487,1.0067564043149515,1.0067003369869931,1.0029651205829613,1.0033009671375106,0.994172820967503,1.009853121016105,1.005118740638149,1.0014062280983238,0.9928598341086683,0.9830103898833294,0.9872452312442882,0.9989313243187218,1.0380789901054477
1997-02-10,1.011311454447411,1.0109102339887663,1.0052181179962754,1.0083650001673221,1.002074699967749,0.997919722124887,0.9984253343164351,1.005660981201947,1.0031455617101184,0.9971227742934334,0.9940073763619992,0.9819123279428236,0.9824158453552897,0.9936962715909153,1.0309992790695948
1997-02-11,1.0132472743873477,1.0128682294693303,1.0059411933909028,1.0076298776760513,1.000969656204787,0.9960858290807879,0.9971884556929167,1.0059126483867349,0.9992059754973849,0.9983580392673449,0.9941028242519098,0.9812743778423022,0.9793321984798673,0.9881714913520436,1.0314002165107712
1997-02-12,1.0102367607472305,1.0168432582390177,1.011900216918681,1.0130905736812716,1.0065538140215693,1.0029913970696547,0.9999540011232503,1.0138566268834346,1.001599553378963,0.9955892501808186,0.9900623946686423,0.9876442436608657,0.9842810856415896,0.9883804482145424,1.045297739488752
