ticker,market_date,rr_10,rr_25,rr_40,rr_slope,deviation_class,drive_class,rr_25d,fwd_ret,mom,mom_decile,exc_mom
AAOI,2025-12-26,,-0.0943370487458709,-0.08691831356649693,,NORMAL,CHASE,-0.0807251157070419,0.005918751681463608,0.4423748544819559,8,-0.1807679952314269
AAOI,2025-12-29,,-0.07462118052640132,-0.07549400099790682,,CHEAP,CHASE,-0.1010472594183129,0.23074829931972785,0.41673091750192737,8,0.005780450290498146
AAOI,2025-12-30,,-0.12138287303035278,-0.13927157242722377,,CHEAP,CHASE,-0.131529748211705,0.09855635757912262,0.3891245661396068,8,-0.014695753254528682
AAOI,2025-12-31,,-0.11259997140578859,-0.07245675857877698,,CHEAP,CHASE,-0.1454991760867989,0.25100401606425704,0.22660098522167482,8,0.0757642281981944
AAOI,2026-01-02,,0.005334900399539544,0.017735911061788512,,NORMAL,CHASE,-0.071031539778515,0.115151515151515,0.4152966404574696,9,-0.22343304653894874
AAOI,2026-01-05,,-0.10954132565683472,-0.09501948386213288,-0.05653276351635439,NORMAL,CHASE,-0.101633661264789,0.31809088310945977,0.2527747941281777,8,0.1724761575940902
AAOI,2026-01-06,,-0.004611036928875323,-0.044174607244507946,-0.04428360858714575,CHEAP,CHASE,-0.1384782335099799,0.03341103341103335,0.1426457531814147,7,-0.023333582339591763
AAOI,2026-01-07,,-0.08288132634823875,-0.08862106131382597,-0.04756876400909904,NORMAL,CHASE,-0.0525143863749429,0.0019708316909736734,0.2144566778362853,7,-0.030357161977129565
AAOI,2026-01-08,-0.10062195355107117,-0.06556760971589826,-0.048679847614711,-0.07745273094159189,RICH,CHASE,0.004334512454134076,0.342017570433202,0.024518932340161337,5,0.24634459303233136
AAOI,2026-01-09,0.047936437667156495,0.00978202708423348,0.01283698439510128,-0.00044566982400051636,RICH,STRUCTURAL,-0.00551554342838201,0.40746180963572254,0.05159097930182277,5,0.35011355956446516
AAOI,2026-01-12,-0.22647334256116736,-0.057122469091328565,-0.060742493585694834,-0.03578211468046533,NORMAL,STRUCTURAL,-0.0569741351954511,0.43801897983392646,0.24198895027624312,7,0.40428718510978284
AAOI,2026-01-13,-0.02303177106276144,-0.030993809867271738,-0.050397348448885326,-0.0055566092276970735,RICH,CHASE,-0.02015216263069597,0.41603276770040964,0.174570446735395,6,0.4010193019197989
