asset_class,deviation,drive,n,sep_naive,raw_abs,base_abs,hit_neg,sep_IS,n_IS,sep_OOS,n_OOS,sep_nonoverlap,eff_n,t_stat
credit,CHEAP,CHASE,12,0.0004621750286889076,3.8597677889551374e-05,-0.0013623372179029346,0.16666666666666666,0.0005314345099370343,9,0.0002543965849445273,3,0.00034186905105476617,3,6.7642250888142685
credit,CHEAP,PANIC,11,0.00026314630042376363,0.0011159081461647507,-0.0013623372179029346,0.0,,0,0.00026314630042376363,11,0.00024938392706985724,1,
credit,CHEAP,STRUCTURAL,17,-1.218304818875585e-05,-0.0053582457999264,-0.0013623372179029346,0.4117647058823529,0.00036974061001937564,1,-3.605327682676407e-05,16,5.965146475974681e-05,5,0.3752374156832398
credit,NORMAL,CHASE,35,-8.599852591733332e-07,-0.0011423171730906218,-0.0013623372179029346,0.45714285714285713,-5.735957301272148e-05,28,0.00022513836575501926,7,0.00016864228020935235,4,1.0364626223162727
credit,NORMAL,PANIC,4,0.00022000644743480624,-0.0018332139897512534,-0.0013623372179029346,0.25,,0,0.00022000644743480624,4,0.0004653508808954987,1,
credit,NORMAL,STRUCTURAL,69,-0.00016940812809327645,-0.001503488297379923,-0.0013623372179029346,0.5217391304347826,-6.447888364623275e-05,33,-0.0002655932688363998,36,1.1568692567925127e-05,7,0.06198977399261636
credit,RICH,CHASE,2,-0.000110328765684925,-0.0034322738193706126,-0.0013623372179029346,1.0,-0.000110328765684925,2,,0,-0.000110328765684925,2,-4.897977467000959
credit,RICH,STRUCTURAL,7,-2.3720316884261778e-05,0.0031977529743762684,-0.0013623372179029346,0.42857142857142855,,0,-2.3720316884261778e-05,7,-0.0002630541844285128,2,-0.3379928078028331
index_macro,CHEAP,CHASE,17,-0.01533055920802551,-0.018032668627131865,0.015277461110579385,0.8823529411764706,-0.01533055920802551,17,,0,-0.02252243454425279,2,-4.297336010404034
index_macro,CHEAP,PANIC,8,0.020783689787636086,0.022390697082605132,0.015277461110579385,0.25,-0.0054807389437441095,3,0.036542347026464195,5,0.02081690658800575,4,1.3247550220715232
index_macro,CHEAP,STRUCTURAL,112,0.014555154696407585,0.014399931049229221,0.015277461110579385,0.33035714285714285,-0.007786237595215428,60,0.040333684263664904,52,0.013112157030988758,18,1.5405071619733903
index_macro,NORMAL,CHASE,59,-0.008548682855662793,-0.011682736289211638,0.015277461110579385,0.3898305084745763,0.03518569318358896,40,-0.10062105346461388,19,0.010896225210640055,9,0.4144641579230838
index_macro,NORMAL,PANIC,42,-0.004420165979979297,0.005904639141030048,0.015277461110579385,0.5952380952380952,-0.010586647458666974,20,0.001185726273373138,22,-0.0026492850496763567,17,-0.33172165428150485
index_macro,NORMAL,STRUCTURAL,643,-0.0011510550410791206,0.020135534146526014,0.015277461110579385,0.552099533437014,-0.006072143687596963,526,0.020972813574889986,117,-0.0004404496218784977,54,-0.08733689910617934
index_macro,RICH,CHASE,89,0.02766973606108276,0.03954562531025625,0.015277461110579385,0.30337078651685395,0.05436047625963543,62,-0.03362011180226038,27,0.013204975771280561,8,0.5567281991200249
index_macro,RICH,PANIC,282,-0.0002651121114340928,0.016257391326150925,0.015277461110579385,0.42907801418439717,-0.003110794361963167,85,0.0009627203316875886,197,-0.0016471659010986021,28,-0.27541191076741783
index_macro,RICH,STRUCTURAL,322,-0.007743865157506666,0.006060106940606554,0.015277461110579385,0.6335403726708074,-0.0015531761826673147,234,-0.024205469931511302,88,-0.00482035164659943,44,-1.083747244280611
sector_etf,CHEAP,CHASE,38,0.034171796963695454,0.058423121417439806,0.034311645121576605,0.2894736842105263,0.12903144373259257,14,-0.02116299698482788,24,-0.03649536883737366,5,-0.5745509825830117
sector_etf,CHEAP,PANIC,35,-0.003284790336754181,0.021451970209583105,0.034311645121576605,0.6,-0.009913977195631911,22,0.007933833578269673,13,-0.023735148023248324,7,-0.8579368989656414
sector_etf,CHEAP,STRUCTURAL,87,-0.022126192391689878,0.024921895975314863,0.034311645121576605,0.5747126436781609,0.013242951877912537,45,-0.060021704109121034,42,-0.006779139175750224,22,-0.46011675025996834
sector_etf,NORMAL,CHASE,30,-0.04792708661672473,0.005374804319489294,0.034311645121576605,0.6333333333333333,,0,-0.04792708661672473,30,-0.041628521425684704,3,-0.6089459954537694
sector_etf,NORMAL,PANIC,114,-0.012813940480699558,0.0134889643770159,0.034311645121576605,0.5087719298245614,-0.010486665003687778,104,-0.037017605441622047,10,-0.002032372517138178,22,-0.11287474053158845
sector_etf,NORMAL,STRUCTURAL,487,0.0016961297575324907,0.032442852471086,0.034311645121576605,0.4722792607802875,-0.00013916157820164661,403,0.010501158427780797,84,-0.0029278738698708673,43,-0.3254252929003308
sector_etf,RICH,CHASE,6,-0.06143789476788361,-0.027880886709156043,0.034311645121576605,0.6666666666666666,,0,-0.06143789476788361,6,-0.04040702486854229,2,-0.39103522269982194
sector_etf,RICH,PANIC,184,0.007741988727770753,0.05010932416618832,0.034311645121576605,0.5108695652173914,-0.019581318271236145,64,0.022314419127241098,120,-0.002198036935132608,23,-0.1427311386505027
sector_etf,RICH,STRUCTURAL,233,0.007545520082934074,0.0427628717091691,0.034311645121576605,0.5150214592274678,0.001518549980982025,142,0.01695024265960651,91,0.0053749691388244114,35,0.5120318894549167
single_name,CHEAP,CHASE,1022,0.014275440433142696,0.04467872237436754,0.05846284107713974,0.4755381604696673,0.015191373319144826,713,0.012161977171914478,309,0.03777648646782522,165,2.0053332342886963
single_name,CHEAP,PANIC,548,-0.02073753100276717,0.010534713455572652,0.05846284107713974,0.5784671532846716,-0.017452034224382275,362,-0.02713188494779584,186,-0.03413636587547898,126,-2.5060398177234835
single_name,CHEAP,STRUCTURAL,1564,-0.008246110664368476,0.036640711392204636,0.05846284107713974,0.5632992327365729,0.0011056446099687335,1205,-0.03963570705873153,359,-0.011685263908856387,331,-1.3386214081713599
single_name,NORMAL,CHASE,1859,0.05903217920217612,0.10339612926863063,0.05846284107713974,0.44862829478214095,0.06416474396707998,1289,0.047425379233823346,570,0.03958384891265676,245,2.670397443614136
single_name,NORMAL,PANIC,1527,-0.014259268169572884,0.039143322112589495,0.05846284107713974,0.6201702685003274,-0.030182922945357033,1019,0.01768207871334849,508,-0.005080257237531125,262,-0.416347170598007
single_name,NORMAL,STRUCTURAL,7058,-0.0021955718057730697,0.05607410249787988,0.05846284107713974,0.5716916973646925,-0.0009755250687925458,5592,-0.006849392646970259,1466,-0.007672597171787797,679,-1.135807540699777
single_name,RICH,CHASE,794,0.05458777713933358,0.11626014281753719,0.05846284107713974,0.4609571788413098,0.05905785677566473,307,0.0517698829948702,487,0.021587303510191263,156,1.267873116215385
single_name,RICH,PANIC,2387,-0.028937723991658063,0.05346308324235319,0.05846284107713974,0.6669459572685379,-0.054448129717167365,700,-0.018352493400160427,1687,-0.018403021121717614,295,-1.981243130834799
single_name,RICH,STRUCTURAL,2947,-0.012577990081909563,0.05960121842737832,0.05846284107713974,0.6257210722768918,-0.024367474456330935,1328,-0.002907554473983946,1619,-0.003061621496640976,468,-0.3908735558563003
