asset_class,deviation,drive,n,sep_naive,raw_abs,base_abs,hit_neg,sep_IS,n_IS,sep_OOS,n_OOS,sep_nonoverlap,eff_n,t_stat
credit,CHEAP,CHASE,12,-0.0642479671181128,3.8597677889551374e-05,-0.0013623372179029346,0.75,-0.03872682144863759,9,-0.14081140412653845,3,-0.06729444860364776,3,-1.1940782697747392
credit,CHEAP,PANIC,11,-0.03268187486451887,0.0011159081461647507,-0.0013623372179029346,0.8181818181818182,,0,-0.03268187486451887,11,-0.05947486387222162,1,
credit,CHEAP,STRUCTURAL,17,-0.08359140372180568,-0.0053582457999264,-0.0013623372179029346,0.8823529411764706,-0.021148682328942375,1,-0.08749407380885964,16,-0.025622202282529604,5,-1.168614574329021
credit,NORMAL,CHASE,35,-0.03841204034497298,-0.0011423171730906218,-0.0013623372179029346,0.6285714285714286,-0.01568420221384002,28,-0.1293233928695048,7,-0.06259389954895468,4,-1.4069920812469459
credit,NORMAL,PANIC,4,0.004071717339136025,-0.0018332139897512534,-0.0013623372179029346,0.25,,0,0.004071717339136025,4,-0.05993886368771491,1,
credit,NORMAL,STRUCTURAL,69,-0.048411055365164754,-0.001503488297379923,-0.0013623372179029346,0.7391304347826086,-0.0055845150827880915,33,-0.08766871729067667,36,-0.0529184275261806,7,-1.9045953095294657
credit,RICH,CHASE,2,-0.027836323498983996,-0.0034322738193706126,-0.0013623372179029346,1.0,-0.027836323498983996,2,,0,-0.027836323498983996,2,-6.867189225976017
credit,RICH,STRUCTURAL,7,-0.08463750348569814,0.0031977529743762684,-0.0013623372179029346,0.8571428571428571,,0,-0.08463750348569814,7,-0.10902308465577903,2,-1.0693954828330983
index_macro,CHEAP,CHASE,17,0.009953827242157461,-0.018032668627131865,0.015277461110579385,0.5294117647058824,0.009953827242157461,17,,0,-0.029541925975921375,2,-1.164183903479742
index_macro,CHEAP,PANIC,8,-0.02716031972532786,0.022390697082605132,0.015277461110579385,0.75,-0.04291793586058271,3,-0.017705750044174955,5,-0.034164573332089394,4,-1.2353603981158012
index_macro,CHEAP,STRUCTURAL,112,-0.019214358895656276,0.014399931049229221,0.015277461110579385,0.6428571428571429,-0.03002640969589796,60,-0.006738915664608178,52,-0.027029862170864612,18,-2.0642982094852282
index_macro,NORMAL,CHASE,59,-0.013640574541765706,-0.011682736289211638,0.015277461110579385,0.4067796610169492,0.0490651145295153,40,-0.14565255153393622,19,-0.006504376801542797,9,-0.21317106817285975
index_macro,NORMAL,PANIC,42,-0.05305582467279936,0.005904639141030048,0.015277461110579385,0.8571428571428571,-0.04457156895456097,20,-0.060768784416652434,22,-0.045331298946641806,17,-3.4792902032464257
index_macro,NORMAL,STRUCTURAL,643,-0.04183134882576427,0.020135534146526014,0.015277461110579385,0.8289269051321928,-0.03707095892471469,526,-0.06323275983390171,117,-0.03358723800272371,54,-4.413572189118144
