market_date,mean_rrz,panic,chase,n,net_fear,r_fwd,r_past,r_1d,d_rrz,d_fear,fear_q
2025-05-13,,0.0,0.0,1,0.0,0.02474268965987325,,,,,2
2025-05-14,,0.0,0.0,1,0.0,0.027502169880358807,,0.0012780314906959411,,0.0,2
2025-05-15,,0.0,0.0,1,0.0,0.011076110151407415,,0.004884358140880618,,0.0,2
2025-05-16,,0.0,0.0,1,0.0,0.014271289128239495,,0.006334044643159675,,0.0,2
2025-05-19,,0.0,0.0,1,0.0,0.004505337480037008,,0.0010939077751599413,,0.0,2
2025-05-20,,0.0,0.0,1,0.0,0.007742261954963414,,-0.003362192149281351,,0.0,2
2025-05-21,,0.0,0.0,1,0.0,0.01959304121058225,,-0.016850805431390725,,0.0,2
2025-05-22,,0.0,0.0,1,0.0,0.029257919017647183,,0.0003946059087946985,,0.0,2
2025-05-23,,0.0,0.0,1,0.0,0.04778021446702696,,-0.006825704436707936,,0.0,2
2025-05-27,,0.0,0.0,1,0.0,0.027015139981392267,,0.020790523389338844,,0.0,2
2025-05-28,,0.0,0.0,1,0.0,0.04107328194919435,,-0.0057853336716569,,0.0,2
2025-05-29,,0.0,0.0,1,0.0,0.042132022709939765,,0.003947390808704654,,0.0,2
2025-05-30,,0.0,0.0,1,0.0,0.048287212202446694,,-0.001118549275485048,,0.0,2
2025-06-02,,0.0,0.0,1,0.0,0.042077913313424586,,0.005632942533806196,,0.0,2
2025-06-03,,0.0,0.0,1,0.0,0.04086631213407377,,0.005702620168379191,,0.0,2
2025-06-04,,0.0,0.0,1,0.0,0.04935143389324259,,-0.00026841584324532874,,0.0,2
2025-06-05,,0.0,0.0,1,0.0,0.04658966360340622,,-0.004832782373768718,,0.0,2
2025-06-06,,0.0,0.0,1,0.0,0.03538405047234372,,0.010268948655256738,,0.0,2
2025-06-09,,0.0,0.0,3,0.0,0.040655016008537936,,0.0009012918516539958,,0.0,2
2025-06-10,,0.0,0.0,3,0.0,0.037706440273263864,,0.0056696905016009325,,0.0,2
2025-06-11,,0.0,0.0,3,0.0,0.03701609684714646,0.02474268965987325,-0.002852026265172114,,0.0,2
2025-06-12,,0.0,0.0,4,0.0,0.034881987577639606,0.027502169880358807,0.003974324863642353,,0.0,2
2025-06-13,,0.0,0.0,7,0.0,0.04211055276381903,0.011076110151407415,-0.011180124223602483,,0.0,2
2025-06-16,,0.0,0.0,65,0.0,0.03574035972655487,0.014271289128239495,0.009514237855946295,,0.0,2
2025-06-17,,0.0,0.0,65,0.0,0.051060197814335684,0.004505337480037008,-0.008545164929979365,,0.0,2
2025-06-18,,0.0,0.0,65,0.0,0.0504485806106052,0.007742261954963414,-0.0001506200525495105,,0.0,2
2025-06-20,,0.0,0.0,66,0.0,0.058036615736689834,0.01959304121058225,-0.005289234065345649,,0.0,2
2025-06-23,,0.0,0.0,74,0.0,0.0478380404898775,0.029257919017647183,0.00987749882210398,,0.0,2
2025-06-24,,0.0,0.0,74,0.0,0.045205840667128294,0.04778021446702696,0.01104723819045228,,0.0,2
2025-06-25,2.0581091162634304,0.0,0.0,74,0.0,0.04496639873501107,0.027015139981392267,0.0005603348824945176,,0.0,2
2025-06-26,1.1875270094917796,0.0,0.0,74,0.0,0.041234249105202014,0.04107328194919435,0.00782382395572534,-0.8705821067716508,0.0,2
2025-06-27,2.6129097582124334,0.0,0.0,74,0.0,0.03582638109642078,0.042132022709939765,0.004968375635347355,1.4253827487206538,0.0,2
2025-06-30,1.1315926065999353,0.0,0.0,74,0.0,0.028178360443473327,0.048287212202446694,0.004781187490852323,-1.481317151612498,0.0,2
2025-07-01,0.781262185870821,0.0,0.0,74,0.0,0.02721606087590067,0.042077913313424586,-0.00032370316419849665,-0.35033042072911436,0.0,2
2025-07-02,0.5247235075841153,0.0,0.0,74,0.0,0.018744459666371283,0.04086631213407377,0.004533311746134583,-0.2565386782867056,0.0,2
2025-07-03,0.8425548710460358,0.0,0.0,74,0.0,-0.005788850865129369,0.04935143389324259,0.007881376420340036,0.3178313634619204,0.0,2
2025-07-07,0.11875878229023092,0.0,0.0,74,0.0,0.016900818457175948,0.04658966360340622,-0.007451946141299293,-0.7237960887558048,0.0,2
2025-07-08,0.9901116817036062,0.0,0.0,74,0.0,0.012299706612502792,0.03538405047234372,-0.0005477862988978455,0.8713528994133752,0.0,2
