market_date,mean_rrz,panic,chase,n,net_fear,VIX,VIX3M,VVIX,r_fwd,vix_fwd_chg,d_fear,d_rrz,d_vix,fear_resid
2025-05-13,,0.0,0.0,1,0.0,18.22,20.09,91.59,0.02474268965987325,-0.052689352360043795,,,,-0.026922312297087525
2025-05-14,,0.0,0.0,1,0.0,18.62,20.58,97.16,0.027502169880358807,-0.03222341568206233,0.0,,0.40000000000000213,-0.03961360891447918
2025-05-15,,0.0,0.0,1,0.0,17.83,20.25,94.11,0.011076110151407415,0.1676948962422884,0.0,,-0.7900000000000027,-0.014548298095130807
2025-05-16,,0.0,0.0,1,0.0,17.24,20.08,94.94,0.014271289128239495,0.10846867749419964,0.0,,-0.5899999999999999,0.004171364415521683
2025-05-19,,0.0,0.0,1,0.0,18.14,20.69,96.89,0.004505337480037008,0.19073869900771778,0.0,,0.9000000000000021,-0.024384052973609238
2025-05-20,,0.0,0.0,1,0.0,18.09,20.72,96.62,0.007742261954963414,0.11332227750138202,0.0,,-0.05000000000000071,-0.022797640896435323
2025-05-21,,0.0,0.0,1,0.0,20.87,22.66,106.3,0.01959304121058225,-0.011978917105893605,0.0,,2.780000000000001,-0.11100215238730649
2025-05-22,,0.0,0.0,1,0.0,20.28,22.32,104.1,0.029257919017647183,-0.022189349112426204,0.0,,-0.5899999999999999,-0.092282489876654
2025-05-23,,0.0,0.0,1,0.0,22.29,23.8,109.76,0.04778021446702696,-0.21579183490354414,0.0,,2.009999999999998,-0.15605625537904633
2025-05-27,,0.0,0.0,1,0.0,18.96,21.29,96.49,0.027015139981392267,-0.11603375527426152,0.0,,-3.3299999999999983,-0.050401211039261984
2025-05-28,,0.0,0.0,1,0.0,19.31,21.67,97.15,0.04107328194919435,-0.14085965820818225,0.0,,0.34999999999999787,-0.0615060955794795
2025-05-29,,0.0,0.0,1,0.0,19.18,21.62,95.32,0.042132022709939765,-0.1491136600625651,0.0,,-0.129999999999999,-0.05738142417882719
2025-05-30,,0.0,0.0,1,0.0,18.57,21.38,95.15,0.048287212202446694,-0.0990845449649973,0.0,,-0.6099999999999994,-0.038027196837305155
2025-06-02,,0.0,0.0,1,0.0,18.36,21.09,91.84,0.042077913313424586,-0.08333333333333337,0.0,,-0.21000000000000085,-0.031364266113174555
2025-06-03,,0.0,0.0,1,0.0,17.69,20.72,90.89,0.04086631213407377,-0.05935556811758058,0.0,,-0.6699999999999982,-0.010106344279043888
2025-06-04,,0.0,0.0,1,0.0,17.61,20.66,90.79,0.04935143389324259,-0.06984667802385014,0.0,,-0.08000000000000185,-0.0075680849555654905
2025-06-05,,0.0,0.0,1,0.0,18.48,21.11,93.2,0.04658966360340622,-0.03733766233766245,0.0,,0.870000000000001,-0.03517165509839204
2025-06-06,,0.0,0.0,1,0.0,16.77,20.02,89.45,0.03538405047234372,0.0023852116875371365,0.0,,-1.7100000000000009,0.019083637940956688
2025-06-09,,0.0,0.0,3,0.0,17.16,20.09,88.97,0.040655016008537936,-0.07109557109557119,0.0,,0.39000000000000057,0.00670962373899997
2025-06-10,,0.0,0.0,3,0.0,16.95,19.94,92.06,0.037706440273263864,-0.06902654867256641,0.0,,-0.21000000000000085,0.01337255446313057
2025-06-11,,0.0,0.0,3,0.0,17.26,20.3,99.02,0.03701609684714646,-0.049826187717265547,0.0,,0.3100000000000023,0.0035367995846520284
2025-06-12,,0.0,0.0,4,0.0,18.02,20.65,103.04,0.034881987577639606,-0.0455049944506104,0.0,,0.759999999999998,-0.020576663988391752
2025-06-13,,0.0,0.0,7,0.0,20.82,22.62,113.37,0.04211055276381903,-0.165225744476465,0.0,,2.8000000000000007,-0.10941574031013257
2025-06-16,,0.0,0.0,65,0.0,19.11,21.23,106.19,0.03574035972655487,-0.10204081632653061,0.0,,-1.7100000000000009,-0.05516044727078373
2025-06-17,,0.0,0.0,65,0.0,21.6,22.91,115.5,0.051060197814335684,-0.23518518518518527,0.0,,2.490000000000002,-0.134163768714046
2025-06-18,,0.0,0.0,65,0.0,20.14,21.97,106.2,0.0504485806106052,-0.1852035749751738,0.0,,-1.4600000000000009,-0.08784053606056696
2025-06-20,,0.0,0.0,66,0.0,20.62,22.48,108.86,0.058036615736689834,-0.19253152279340457,0.0,,0.4800000000000004,-0.1030700920014368
2025-06-23,,0.0,0.0,74,0.0,19.83,21.82,104.32,0.0478380404898775,-0.1679273827534039,0.0,,-0.7900000000000027,-0.07800478118208842
2025-06-24,,0.0,0.0,74,0.0,17.48,20.05,92.29,0.045205840667128294,-0.12070938215102978,0.0,,-2.349999999999998,-0.0034434135549132883
2025-06-25,2.0581091162634304,0.0,0.0,74,0.0,16.76,19.67,89.65,0.04496639873501107,-0.08174224343675418,0.0,,-0.7199999999999989,0.019400920356391405
2025-06-26,1.1875270094917796,0.0,0.0,74,0.0,16.59,19.45,89.6,0.041234249105202014,-0.10006027727546718,0.0,-0.8705821067716508,-0.1700000000000017,0.024794721418782917
2025-06-27,2.6129097582124334,0.0,0.0,74,0.0,16.32,19.45,91.84,0.03582638109642078,-0.07904411764705888,0.0,1.4253827487206538,-0.2699999999999996,0.03336134663552215
2025-06-30,1.1315926065999353,0.0,0.0,74,0.0,16.73,19.44,89.74,0.028178360443473327,-0.04482964734010764,0.0,-1.481317151612498,0.41000000000000014,0.020352767602695887
2025-07-01,0.781262185870821,0.0,0.0,74,0.0,16.83,19.51,89.54,0.02721606087590067,-0.08021390374331538,0.0,-0.35033042072911436,0.09999999999999787,0.017179943448348056
2025-07-02,0.5247235075841153,0.0,0.0,74,0.0,16.64,19.35,89.8,0.018744459666371283,0.004807692307692291,0.0,-0.2565386782867056,-0.18999999999999773,0.02320830934160889
2025-07-03,0.8425548710460358,0.0,0.0,74,0.0,16.38,19.21,90.6,-0.005788850865129369,0.24420024420024422,0.0,0.3178313634619204,-0.26000000000000156,0.03145765214291352
2025-07-07,0.11875878229023092,0.0,0.0,74,0.0,17.79,20.21,96.3,0.016900818457175948,-0.015177065767284947,0.0,-0.7237960887558048,1.4100000000000001,-0.013279168433391608
