entry_date,expiry_date,strike,credit,iv_entry,contracts,intrinsic,net_pnl,return_on_risk,breached
2006-01-03,2006-04-04,124.29719341058149,1.4566317020621824,0.1114,6.188641498041131,0.0,831.5254909465658,0.010938013335126243,False
2006-01-10,2006-04-11,126.58832066005432,1.4411756972139216,0.10859999999999999,6.07663301969614,0.0,807.0836297648058,0.01061291248480573,False
2006-01-18,2006-04-19,125.06935029888058,1.6340916185531356,0.1225,6.150433878424442,0.0,935.5373422936673,0.012322991297749516,False
2006-01-25,2006-04-26,123.72259687806924,1.711435950497993,0.12869999999999998,6.2173829893730685,0.0,993.8088488228595,0.01310073552571853,False
2006-02-01,2006-05-03,125.58083889878083,1.6577708972389686,0.12359999999999999,6.1253832668754145,0.0,946.23138051037,0.012465563693272575,False
2006-02-08,2006-05-10,123.69655170293501,1.704910599185915,0.1283,6.218692102898106,0.0,989.9601871677243,0.01304934161703799,False
2006-02-15,2006-05-17,125.36261012133554,1.6471725340590808,0.1231,6.136046214148292,0.0,941.3753569463515,0.012400817262411426,False
2006-02-23,2006-05-24,126.36970997369588,1.5923323721779639,0.11869999999999999,6.087145166281431,0.1997099736958745,778.9247297585702,0.010255243563209194,True
2006-03-02,2006-06-01,126.69393997913195,1.573310747733828,0.11720000000000001,6.071567190644406,0.0,886.637482408611,0.011671222856729157,False
2006-03-09,2006-06-08,124.52718255041808,1.693136016939313,0.1268,6.177211701704775,0.0,976.0834694122699,0.012863990575354388,False
2006-03-16,2006-06-15,128.26179215913714,1.6333805506269385,0.1198,5.997349298506356,2.181792159137146,-396.67164463226527,-0.00522324808554857,True
2006-03-23,2006-06-22,127.66240645494202,1.5006562602574647,0.1117,6.025507356406183,3.2024064549420217,-1093.4790648111352,-0.014384313723328615,True
2006-03-30,2006-06-29,127.21442100980902,1.5566529494857235,0.1157,6.046726174003942,0.01442100980901273,864.2174178365591,0.011374003865726737,True
2006-04-06,2006-07-07,128.33304590290058,1.5517399865580472,0.11449999999999999,5.994019418917128,1.6830459029005738,-146.43744067134475,-0.0019269869053386574,True
2006-04-13,2006-07-14,125.9067439247502,1.66517605949727,0.12380000000000001,6.109527935139916,2.356743924750205,-491.5529848478695,-0.006475834771543893,True
2006-04-21,2006-07-21,128.48176026373292,1.575269545980369,0.1159,5.98708149430533,4.621760263732924,-1891.6128407685785,-0.024896210586891464,True
2006-04-28,2006-07-28,128.8051697289277,1.5792347553638493,0.1159,5.9720488769948155,0.8351697289276956,376.87511824387354,0.004960191698078557,True
2006-05-05,2006-08-04,129.89254218908349,1.597283797747778,0.1162,5.922054925301303,1.6825421890834775,-117.40970828918921,-0.0015453290622086512,True
2006-05-12,2006-08-11,125.83404778229078,1.9508785814291727,0.1419,6.113057497456,0.0,1123.5057441619401,0.014835579306574524,False
2006-05-19,2006-08-18,122.68766496288896,2.3898138424566184,0.1718,6.26982972952863,0.0,1427.523511803682,0.018926471431125226,False
2006-05-26,2006-08-25,124.88637929063994,1.9474285716069346,0.1426,6.159444877816407,0.0,1129.90616691044,0.014921459479505175,False
2006-06-05,2006-09-01,122.99330592710098,2.3066841540806777,0.16649999999999998,6.254249070162387,0.0,1371.9847080889042,0.018176696984744663,False
2006-06-12,2006-09-11,118.55331373777813,2.9516290203425655,0.2096,6.488479697262537,0.0,1841.8386766552983,0.024555256502368523,False
2006-06-19,2006-09-18,119.20158959284957,2.429193851777562,0.1783,6.4531922087464535,0.0,1494.68441182374,0.01983511460117191,False
2006-06-26,2006-09-25,121.19250077207276,2.105275176824847,0.1562,6.347181255690604,0.0,1264.5331658520352,0.016729545649137596,False
2006-07-03,2006-10-02,124.93313895427698,1.756272508392037,0.1305,6.1571395361505505,0.0,1011.7858130089899,0.013340755904956984,False
2006-07-11,2006-10-09,124.33744506302072,1.7619207034610866,0.13140000000000002,6.186638054536852,0.0,1020.1275572946035,0.013452283496860179,False
2006-07-18,2006-10-16,119.42245741540876,2.4187199831357162,0.17739999999999997,6.441257246574776,0.0,1485.1735549945201,0.019706378904950528,False
2006-07-25,2006-10-23,122.96329630538935,2.011443442918967,0.1485,6.255775441480701,0.0,1187.6235867252544,0.01569586077426704,False
2006-08-01,2006-10-30,123.55908516918461,2.053498095960748,0.1505,6.225610752762467,0.0,1208.0785811928326,0.015970443357401585,False
2006-08-08,2006-11-06,123.88896261728081,2.088262008558509,0.1523,6.209033904070096,0.0,1226.4468780561376,0.01621716458679432,False
2006-08-15,2006-11-13,125.40648217106941,1.8212574039085538,0.13419999999999999,6.133899587275294,0.0,1047.8279384794641,0.013822505134630564,False
2006-08-22,2006-11-20,127.33961712996184,1.6543716432481617,0.1219,6.040781231858881,0.0,931.1088893852979,0.012263743745570373,False
2006-08-29,2006-11-28,127.7887894334651,1.6743349199589161,0.12279999999999999,6.019548135959761,0.0,939.8530707047577,0.01238030110015427,False
