long_dte,short_delta,slippage,sharpe,ann_return,maxdd_frac
45,0.3,0.0,0.8635309480258806,0.05002437060664559,-0.0757892496749289
45,0.3,0.02,0.69334698812293,0.040143382275646025,-0.0784919538141036
45,0.3,0.05,0.43726213200431513,0.02532189977914664,-0.09030331193042798
45,0.3,0.1,0.010663135751986588,0.000619428951647677,-0.14931410809281412
45,0.3,0.2,-0.8262578674522142,-0.04878551270335027,-0.7402405586729095
60,0.3,0.0,0.6931188462474337,0.035817247493113755,-0.0903345809370818
60,0.3,0.02,0.5563157017633944,0.028753118141933095,-0.09461625412858471
60,0.3,0.05,0.3509139617209559,0.0181569241151621,-0.10861857506840361
60,0.3,0.1,0.009559154573960837,0.0004966007372104438,-0.16521049648126943
60,0.3,0.2,-0.6597246984342403,-0.03482404601869288,-0.5353036186535146
120,0.3,0.0,0.5259423534312251,0.022951457186908244,-0.08384041441567133
120,0.3,0.02,0.4370666841310087,0.019075071743647077,-0.08679056217630124
120,0.3,0.05,0.30364340726709854,0.013260493578755323,-0.09121578381724602
120,0.3,0.1,0.08154580669196115,0.003569529970602396,-0.0994029408260728
120,0.3,0.2,-0.35787902131008376,-0.015812397245703467,-0.2558643422980345
