config,index,axis,point,sharpe,ann_return,maxdd_frac,worst_year_sharpe,stress_worst_sharpe,boot_p5,boot_p50,boot_p95,boot_frac_pos
mid,RUT,fvm,1.0,-1.4317738553466817,-0.06741277765691764,-1.0336143901856867,-3.731591486559757,-3.5463149845879953,-1.2501570527940218,-0.98015572867669,-0.7162787849566731,0.0
mid,RUT,fvm,1.1,-0.5415440246151727,-0.026238224245736172,-0.5057877939746117,-3.4675153937694474,-2.5897203199942065,-0.6521802919766927,-0.3448286986858035,-0.02062253311726598,0.0405
mid,RUT,fvm,1.2,0.3457972935398226,0.017244908292126507,-0.24269431003845207,-3.1703918731743683,-1.6657255134579387,-0.12479835335746581,0.23113619619212644,0.6047613880811219,0.849
mid,RUT,fvm,1.3,1.2388270466184677,0.06368250494216172,-0.1680165912354582,-2.8384916693492914,-0.7439148901286883,0.37445845579236925,0.7671596282317157,1.1740769221012557,1.0
mid,RUT,slippage,0.0,1.6518903999627048,0.07609449842030909,-0.07290825837375031,-2.985862322543193,1.0439466311236776,,,,
mid,RUT,slippage,0.02,0.7662766459380381,0.03565512557502155,-0.1124243813974239,-3.146763516314052,-0.45866707040819427,,,,
mid,RUT,slippage,0.05,-0.5160287441418953,-0.02500393369290978,-0.4949791567691741,-3.3724662156415905,-2.5673047657289563,,,,
mid,RUT,slippage,0.1,-2.314870962011947,-0.12610236580612866,-1.910958922806842,-5.070959711863086,-4.830380827022217,,,,
mid,RUT,slippage,0.2,-4.4724209190541435,-0.3282992300325664,-4.947350361093328,-7.725168397242191,-6.650478040544301,,,,
long,RUT,fvm,1.0,-1.8348462147582938,-0.07742270894075724,-1.2152411209173837,-4.82944153858724,-4.82944153858724,-1.2085015618876545,-0.9204861541717037,-0.6057840423729474,0.0
long,RUT,fvm,1.1,-1.0962772450300795,-0.04740202452985451,-0.770845400671054,-4.01945715568772,-4.01945715568772,-0.8459245570524433,-0.5391151185565276,-0.14317668795990246,0.018
long,RUT,fvm,1.2,-0.34533299712650006,-0.015324072385881833,-0.4884360271704,-3.431394462785303,-3.431394462785303,-0.5186450441286062,-0.15781861424452256,0.33684164836826197,0.2825
long,RUT,fvm,1.3,0.40491635016886596,0.018456873172185462,-0.41377159095131577,-3.224724201958138,-2.883434887820079,-0.2084711620226903,0.20144789863010426,0.7843938991265038,0.7875
long,RUT,slippage,0.0,1.5546258584006154,0.06101663270930976,-0.0497720417563291,-3.2253619834468723,0.7485570187433049,,,,
long,RUT,slippage,0.02,0.45230960835595563,0.018116842683221043,-0.20474444219834975,-3.3158440525765895,-1.3147269973543525,,,,
long,RUT,slippage,0.05,-1.0690638596658324,-0.04623284235591204,-0.7553684979263552,-4.012266404204929,-4.012266404204929,,,,
long,RUT,slippage,0.1,-2.9178485504668163,-0.15348231742113383,-2.3812753513765146,-7.122642522075832,-7.122642522075832,,,,
long,RUT,slippage,0.2,-4.650607667892937,-0.3679812675515775,-5.637646557162411,-9.929306027109511,-9.929306027109511,,,,
winner,RUT,fvm,1.0,-0.580684004556017,-0.0465751835674151,-0.5213360175018895,-2.9174828445948453,-2.8361210656068456,-0.7861988451650276,-0.4558992094225835,-0.1365670099032397,0.011
winner,RUT,fvm,1.1,1.6680097964181329,0.13835039133523047,-0.11088940140996917,-0.6505301104352146,-0.3275354406365032,0.9590325199964532,1.321936744063826,1.7088334348309107,1.0
winner,RUT,fvm,1.2,3.858827286194796,0.33140931853274835,-0.06766495758896829,1.4685658590773654,2.099774782932025,2.582319639974148,3.0073541960748633,3.479482535232286,1.0
winner,RUT,fvm,1.3,5.981026652793813,0.5324101679655991,-0.04547535861904145,3.5535326064457444,4.387031322367871,4.077015995735614,4.580482049946299,5.149391643932462,1.0
winner,RUT,slippage,0.0,4.184589332845775,0.3463628914379001,-0.0595806114337778,1.7961875211484657,2.3109706857290746,,,,
winner,RUT,slippage,0.02,3.1814407238174938,0.26320800247764303,-0.07583067862339643,0.8129886285849128,1.2573969862811658,,,,
winner,RUT,slippage,0.05,1.669548671420555,0.13847566903725742,-0.11078991817642536,-0.6499521693529884,-0.32531534220760766,,,,
winner,RUT,slippage,0.1,-0.8263559832179824,-0.06941155336338528,-0.7513974227942234,-3.012773802360481,-2.9213252500489526,,,,
winner,RUT,slippage,0.2,-5.4756706654501945,-0.48518599816467056,-5.067498203053233,-7.681468751630771,-7.681468751630771,,,,
