front_dte,long_dte,short_delta,front_vol_mult,year,year_sharpe,stress
0,7,0.1,0.85,2010,-13.0506856878393,0
0,7,0.1,0.85,2011,-7.242184129357372,1
0,7,0.1,0.85,2012,-8.445010195572385,0
0,7,0.1,0.85,2013,-10.19824293152455,0
0,7,0.1,0.85,2014,-8.21982692567381,0
0,7,0.1,0.85,2015,-8.32443981149919,1
0,7,0.1,0.85,2016,-9.456818729294865,0
0,7,0.1,0.85,2017,-8.361286512187325,0
0,7,0.1,0.85,2018,-7.7054187814833925,1
0,7,0.1,0.85,2019,-8.887581043847383,0
0,7,0.1,0.85,2020,-9.503396046010163,1
0,7,0.1,0.85,2021,-6.66162689077091,0
0,7,0.1,0.85,2022,-6.52159975825473,1
0,7,0.1,0.85,2023,-8.003877503644054,0
0,7,0.1,0.85,2024,-7.963780300297416,0
0,7,0.1,0.85,2025,-6.205931920161226,0
0,7,0.1,0.85,2026,-3.7972193762187927,0
0,7,0.1,1.0,2010,-11.818507051485739,0
0,7,0.1,1.0,2011,-5.4295228965166835,1
0,7,0.1,1.0,2012,-6.5154903797465975,0
0,7,0.1,1.0,2013,-8.446051777373363,0
0,7,0.1,1.0,2014,-6.677695737920394,0
0,7,0.1,1.0,2015,-5.838483567845906,1
0,7,0.1,1.0,2016,-7.67862531032359,0
0,7,0.1,1.0,2017,-6.7009235602539015,0
0,7,0.1,1.0,2018,-5.62892564063602,1
0,7,0.1,1.0,2019,-6.831627561832815,0
0,7,0.1,1.0,2020,-7.3451153526648785,1
0,7,0.1,1.0,2021,-5.09118767789847,0
0,7,0.1,1.0,2022,-4.117489450066683,1
0,7,0.1,1.0,2023,-5.567306772189676,0
0,7,0.1,1.0,2024,-5.682770872496443,0
0,7,0.1,1.0,2025,-4.346272841864495,0
0,7,0.1,1.0,2026,-1.7209315934998546,0
0,7,0.1,1.15,2010,-10.766794879882422,0
0,7,0.1,1.15,2011,-3.8000905347974214,1
0,7,0.1,1.15,2012,-4.844165483065616,0
0,7,0.1,1.15,2013,-7.199288325946879,0
0,7,0.1,1.15,2014,-5.258764406544232,0
0,7,0.1,1.15,2015,-3.9163049604056486,1
0,7,0.1,1.15,2016,-5.978691460539405,0
0,7,0.1,1.15,2017,-5.1803994683324746,0
0,7,0.1,1.15,2018,-3.870614150746881,1
0,7,0.1,1.15,2019,-5.1126531052599,0
0,7,0.1,1.15,2020,-5.393918177323728,1
0,7,0.1,1.15,2021,-3.531309195736192,0
0,7,0.1,1.15,2022,-2.0216882577528623,1
0,7,0.1,1.15,2023,-3.3514826081781632,0
0,7,0.1,1.15,2024,-3.757115200433907,0
0,7,0.1,1.15,2025,-2.534640775815346,0
0,7,0.1,1.15,2026,-0.14560775592403355,0
0,7,0.1,1.3,2010,-10.108052375503986,0
0,7,0.1,1.3,2011,-2.2485478408021846,1
0,7,0.1,1.3,2012,-3.6176166666537157,0
0,7,0.1,1.3,2013,-6.114818151894137,0
0,7,0.1,1.3,2014,-4.152308851428174,0
0,7,0.1,1.3,2015,-2.5553615433885337,1
0,7,0.1,1.3,2016,-4.336489853686112,0
0,7,0.1,1.3,2017,-3.7815391511625855,0
0,7,0.1,1.3,2018,-2.347875041179658,1
0,7,0.1,1.3,2019,-3.397266245282842,0
0,7,0.1,1.3,2020,-3.7115855013838175,1
0,7,0.1,1.3,2021,-1.9871255522373132,0
