long_dte,short_delta,front_vol_mult,n_days,sharpe,ann_return,maxdd_frac,win_rate,short_itm_rate,short_leg_sharpe,short_leg_ann_return,long_leg_ann_return,worst_year_sharpe,stress_year_sharpe_mean
45,0.1,0.85,3791,-1.0415301471675749,-0.07796950805698827,-1.1729460517620707,0.4326035346874176,0.05170139804800844,-1.0880979185923088,-0.04312023010718014,-0.03484927794980812,-4.120312233486448,-0.47567046569631766
45,0.1,1.0,3791,-0.5403355412102767,-0.0432017077307284,-0.6607282210270258,0.43471379583223424,0.03745713532049591,-0.24323266356335127,-0.008655294222566577,-0.03454641350816182,-3.8986310489187317,0.0718619792227491
45,0.1,1.1,3791,-0.2690434707495678,-0.022420912263465573,-0.39149471699769145,0.437087839620153,0.030071221313637563,0.3595275745137834,0.011890079233905379,-0.03431099149737095,-3.7664944178685054,0.3653576150071528
45,0.1,1.2,3791,-0.030297826638820302,-0.002628530270924041,-0.26136123834185476,0.43893431812186756,0.022949089949881298,1.0229362933774826,0.03141906660341978,-0.03404759687434381,-3.624447310968922,0.6111418789965043
45,0.1,1.3,3791,0.1821689764940246,0.016435816829573537,-0.175865083066633,0.44130836190978634,0.019519915589554206,1.759693568979766,0.050188592478877726,-0.03375277564930419,-3.469920456322913,0.8211660560231635
45,0.2,0.85,3791,-1.3255264591868439,-0.08449376162545981,-1.2710946441353883,0.4513321023476655,0.09839092587707729,-1.032361880374701,-0.04922263492981619,-0.03527112669564361,-3.840530129885974,-0.850266636703601
45,0.2,1.0,3791,-0.4700363421734256,-0.031654414289590274,-0.4873220005748437,0.4581904510683197,0.0833553152202585,0.0783157702679177,0.003494568964283737,-0.035148983253874014,-3.344775808917618,0.05794674694633446
45,0.2,1.1,3791,0.03927171597040339,0.002742082130625412,-0.1852569113062056,0.46399366921656554,0.0735953574254814,0.8836664234331096,0.03779640596209152,-0.035054323831466117,-2.979588891900298,0.5891209193880568
45,0.2,1.2,3791,0.5012833398013621,0.03621389799174433,-0.11243070892290818,0.4697968873648114,0.06093379055658138,1.7332217995676584,0.07116311224650533,-0.034949214254761,-2.588751492806989,1.0698194418177978
45,0.2,1.3,3791,0.9216527156115643,0.06875773047084678,-0.08859783494608808,0.47428119229754684,0.05170139804800844,2.6247626038464076,0.10359120520326548,-0.034833474732418705,-2.1750668040965278,1.5070899147925751
45,0.3,0.85,3791,-1.5318468376891394,-0.08511421396117264,-1.2804285124079564,0.4603007122131364,0.13716697441308362,-0.9210770587582525,-0.04966890141787478,-0.035445312543297865,-3.2673139208727293,-1.2175517021820137
45,0.3,1.0,3791,-0.3840127479294864,-0.022092725562204506,-0.3546476314926822,0.4806119757319968,0.12819836454761277,0.2568948722059434,0.013309208846058096,-0.0354019344082626,-2.4817984523817977,0.002614993774371245
45,0.3,1.1,3791,0.3505711890824641,0.020685940085168636,-0.12913665149853992,0.4948562384595094,0.11896597203903983,1.108878300891342,0.05605358888158106,-0.03536764879641243,-1.9848636783051326,0.7732703334408556
45,0.3,1.2,3791,1.0550353304056566,0.06390647498006154,-0.07734931257112121,0.5059351094697969,0.11105249274597731,2.0082257993376618,0.09923585389017868,-0.03532937891011715,-1.4532590531281844,1.5027480313884665
45,0.3,1.3,3791,1.7298276600516997,0.1076194999852166,-0.06519388524433423,0.5196518069111052,0.10445792666842522,2.9523268356428516,0.14290609612126126,-0.03528659613604466,-0.89056957875854,2.196493707582029
