front_dte,long_dte,short_delta,front_vol_mult,n_days,start,end,sharpe,ann_return,ann_vol,maxdd_frac,win_rate,short_itm_rate,mean_short_prem,mean_long_decay,net_theta,worst_year_sharpe,stress_year_sharpe_mean
0,7,0.1,0.85,2630,2010-09-02,2026-05-15,-8.050746217474913,-0.7850068233478664,0.09750733685331359,-8.201011223005324,0.31140684410646385,0.20836501901140683,0.20081712476228905,0.015162135223905783,0.18565498953838327,-13.0506856878393,-7.8594077053209705
0,7,0.1,1.0,2630,2010-09-02,2026-05-15,-6.074522242172099,-0.6434401889719382,0.10592441073058939,-6.72744177024752,0.3452471482889734,0.1741444866920152,0.19589150475869938,0.01431073762268117,0.1815807671360182,-11.818507051485739,-5.671907381546035
0,7,0.1,1.15,2630,2010-09-02,2026-05-15,-4.335204136935929,-0.49878200887121127,0.11505386900275116,-5.244804150984552,0.3673003802281369,0.1444866920152091,0.1945925516357238,0.013367599656719848,0.18122495197900396,-10.766794879882422,-3.8005232162053084
0,7,0.1,1.3,2630,2010-09-02,2026-05-15,-2.8531000117648224,-0.3543985976459577,0.12421527327629144,-3.783502654776732,0.3817490494296578,0.12053231939163499,0.1960049044164013,0.012338257832241496,0.18366664658415982,-10.108052375503986,-2.246983750595478
0,7,0.1,1.5,2630,2010-09-02,2026-05-15,-1.1247627034125796,-0.154297981400182,0.1371826972320785,-1.979038585753744,0.40418250950570345,0.09201520912547528,0.20100483283452883,0.010854620536485966,0.19015021229804285,-9.427141524534722,-0.4265543169605358
0,7,0.2,0.85,2630,2010-09-02,2026-05-15,-9.67687037787018,-0.7851162708356899,0.08113328381778834,-8.199665490430892,0.2965779467680608,0.28631178707224336,0.3205675004568565,0.016479778252817393,0.3040877222040391,-12.698268343471268,-9.8061060144787
0,7,0.2,1.0,2630,2010-09-02,2026-05-15,-7.267226267906235,-0.6225616930013357,0.08566703031536439,-6.506059940040169,0.3406844106463878,0.2627376425855513,0.3301218506228156,0.016100296362887876,0.3140215542599277,-10.633334372554742,-7.32377781662871
0,7,0.2,1.15,2630,2010-09-02,2026-05-15,-4.970257453384471,-0.45094004911807317,0.09072770441921633,-4.722986987640024,0.38935361216730036,0.2349809885931559,0.34292643912041043,0.0156637520000592,0.3272626871203512,-8.68152233358629,-4.9296255100172095
0,7,0.2,1.3,2630,2010-09-02,2026-05-15,-2.8167002489599477,-0.2709464624548557,0.09619286345961071,-2.897304421281259,0.42243346007604565,0.20836501901140683,0.3582928634626225,0.015174384121012437,0.34311847934161005,-7.0395605351534645,-2.646747968314288
0,7,0.2,1.5,2630,2010-09-02,2026-05-15,-0.17145894912171028,-0.017847130821725163,0.10408981807684102,-0.6796771821122489,0.46539923954372625,0.1790874524714829,0.38188534596819235,0.014445860150219762,0.3674394858179726,-4.82352239701793,0.12742508096359367
0,7,0.3,0.85,2630,2010-09-02,2026-05-15,-10.704962503464499,-0.761298786687111,0.07111643655367576,-7.94891424906549,0.27338403041825093,0.34980988593155893,0.4440588174828239,0.017090663468677582,0.4269681540141463,-12.143852121012117,-11.370299901015231
0,7,0.3,1.0,2630,2010-09-02,2026-05-15,-8.115246749639569,-0.5931319320577241,0.0730885887214788,-6.19778359753499,0.3334600760456274,0.32965779467680606,0.47193626530908844,0.016950594271812933,0.4549856710372755,-9.489921844524458,-8.609786721746932
0,7,0.3,1.15,2630,2010-09-02,2026-05-15,-5.499439100777639,-0.4146653020851894,0.07540138084746759,-4.342588130113047,0.39011406844106467,0.30950570342205325,0.502806387863319,0.01678497134548743,0.48602141651783154,-7.248235285369224,-5.846754062674216
0,7,0.3,1.3,2630,2010-09-02,2026-05-15,-2.879995654465167,-0.22508648457324398,0.07815514729137463,-2.3952269338614527,0.44562737642585554,0.296958174904943,0.5361140925734963,0.016596827507829003,0.5195172650656673,-4.908374830013969,-3.1275711636291708
0,7,0.3,1.5,2630,2010-09-02,2026-05-15,0.5262194923504941,0.043318864025149784,0.08232090345352845,-0.2582595133541865,0.5163498098859316,0.27490494296577944,0.5835704204012243,0.016311174914337246,0.5672592454868871,-1.7310742652291802,0.3439505643120274
0,14,0.1,0.85,3550,2010-09-02,2026-05-15,-5.966048773981019,-0.3846787313332124,0.0644779729275536,-5.419904117424371,0.3284507042253521,0.2695774647887324,0.7166985409896355,0.05405592191735132,0.6626426190722842,-7.373196588421167,-6.275890653707983
0,14,0.1,1.0,3550,2010-09-02,2026-05-15,-4.750497400497541,-0.3210252816484983,0.06757719341449928,-4.525099606521698,0.3487323943661972,0.2447887323943662,0.6733443099698695,0.05236665710251887,0.6209776528673506,-6.149256960127072,-5.092671629393905
0,14,0.1,1.15,3550,2010-09-02,2026-05-15,-3.538560550110935,-0.25133304423649816,0.07102691636253584,-3.5456156550119644,0.3659154929577465,0.22,0.6373692023690647,0.050649270772683115,0.5867199315963816,-5.103080218097029,-3.8353260556975997
0,14,0.1,1.3,3550,2010-09-02,2026-05-15,-2.34946500665185,-0.17572856741491005,0.07479514141193165,-2.4832081014162077,0.38760563380281693,0.19971830985915492,0.6077040908563578,0.04891181043626063,0.5587922804200972,-4.850860046234184,-2.5660892523500856
0,14,0.1,1.5,3550,2010-09-02,2026-05-15,-0.8279198631644479,-0.06642963737611284,0.08023679625490283,-0.9475873649532562,0.4132394366197183,0.1743661971830986,0.5763848107448954,0.04657203879557168,0.5298127719493237,-4.289404881890419,-0.911336710395471
0,14,0.2,0.85,3550,2010-09-02,2026-05-15,-6.478433020355936,-0.3756645609699364,0.057986948354572444,-5.292099966044734,0.3219718309859155,0.3245070422535211,0.8867549429829852,0.0572557508451848,0.8294991921378004,-7.907514004628035,-6.7987578579321095
0,14,0.2,1.0,3550,2010-09-02,2026-05-15,-5.174313593075556,-0.30825745889872613,0.05957456063568447,-4.345367448389005,0.35070422535211265,0.3059154929577465,0.8625520093131169,0.056212305945115844,0.8063397033680011,-6.633951741369671,-5.60484156035368
0,14,0.2,1.15,3550,2010-09-02,2026-05-15,-3.7923350144438195,-0.23313140941022129,0.061474370940936544,-3.2904568930200426,0.37859154929577465,0.2864788732394366,0.8439996788853207,0.05515133841930117,0.7888483404660195,-5.333491251335651,-4.309066575166062
0,14,0.2,1.3,3550,2010-09-02,2026-05-15,-2.3667138170503708,-0.15067529272103752,0.06366434827714985,-2.1308361774021676,0.4030985915492958,0.2695774647887324,0.8304272351102278,0.05407464768602918,0.7763525874241985,-4.0284155764291,-2.9533300143078134
0,14,0.2,1.5,3550,2010-09-02,2026-05-15,-0.4203323670513777,-0.028271686481355585,0.06726031278457295,-0.5437494786605587,0.4343661971830986,0.24732394366197183,0.8190503195136357,0.052617353747464915,0.7664329657661708,-2.1240674602968186,-1.0339634206094739
0,14,0.3,0.85,3550,2010-09-02,2026-05-15,-6.882871272736465,-0.36792173446654497,0.0534546877149815,-5.1830244339533,0.3163380281690141,0.37352112676056337,1.032945434058408,0.05944702065051944,0.9734984134078887,-8.26787523998593,-7.22479833006439
0,14,0.3,1.0,3550,2010-09-02,2026-05-15,-5.489978063337609,-0.29792557664612346,0.054267170689749705,-4.196967448784672,0.3470422535211268,0.3588732394366197,1.0290928068906264,0.058835011989767226,0.9702577949008592,-6.886687722089448,-5.946460320058543
0,14,0.3,1.15,3550,2010-09-02,2026-05-15,-3.9857074490843565,-0.22058136361752828,0.05534308938509846,-3.1093086990860357,0.3828169014084507,0.3419718309859155,1.0299790028729012,0.058216870036674105,0.9717621328362271,-5.501754954251313,-4.570818549675261
0,14,0.3,1.3,3550,2010-09-02,2026-05-15,-2.401611166398894,-0.1360911521922118,0.05666660535904912,-1.9225511538727846,0.41098591549295777,0.3307042253521127,1.0351322485791299,0.057593110430049686,0.9775391381490802,-4.01288871290942,-3.1091822913938403
0,14,0.3,1.5,3550,2010-09-02,2026-05-15,-0.20038293355850412,-0.011803205603728209,0.05890324786707511,-0.41612382949625165,0.4563380281690141,0.31408450704225355,1.047896427468648,0.056753147227514046,0.991143280241134,-1.8897111105264601,-1.0453053444726905
0,21,0.1,0.85,3712,2010-09-02,2026-05-14,-5.893064159909218,-0.31082827693786413,0.05274476376015774,-4.578549857116468,0.3203125,0.2796336206896552,1.1235183849891361,0.0449494770884702,1.078568907900666,-9.271891166584135,-6.019103608413911
0,21,0.1,1.0,3712,2010-09-02,2026-05-14,-4.952132265945027,-0.2722841138078238,0.05498320706825129,-4.010788216089847,0.3386314655172414,0.2599676724137931,1.0685848692656332,0.04355906434215556,1.0250258049234777,-8.721532470697328,-5.158108219163464
0,21,0.1,1.15,3712,2010-09-02,2026-05-14,-4.010560394307706,-0.23001589600443004,0.05735255759541675,-3.388170658604938,0.35075431034482757,0.23949353448275862,1.0198329344123414,0.042163950565156406,0.9776689838471849,-8.281341752178353,-4.357435218352933
0,21,0.1,1.3,3712,2010-09-02,2026-05-14,-3.0731261155133858,-0.1838484447777291,0.05982456881598432,-2.70811677386876,0.3671875,0.22494612068965517,0.976631403917197,0.04076499856989189,0.9358664053473051,-8.043981303197363,-3.571276312001453
0,21,0.1,1.5,3712,2010-09-02,2026-05-14,-1.8194657434176356,-0.11530541883044744,0.06337322878850186,-1.7094481565409239,0.38092672413793105,0.2039331896551724,0.9267591744522703,0.03889955083317684,0.8878596236190934,-7.886356276944254,-2.4754681652108452
0,21,0.2,0.85,3712,2010-09-02,2026-05-14,-6.3278457182036005,-0.3043335020100485,0.048094330292307634,-4.482880791513086,0.3197737068965517,0.32004310344827586,1.2950215927545516,0.0476521492015137,1.247369443553038,-9.0373310968498,-6.4859414144082566
0,21,0.2,1.0,3712,2010-09-02,2026-05-14,-5.35485197244807,-0.2636474607912612,0.04923524723891293,-3.883568946258574,0.3389008620689655,0.30441810344827586,1.2620021754551958,0.04676127194127515,1.2152409035139207,-8.59312543734342,-5.580958931045211
0,21,0.2,1.15,3712,2010-09-02,2026-05-14,-4.3016077420371435,-0.21777169777510164,0.050625652275762816,-3.2078116751633967,0.35614224137931033,0.29229525862068967,1.2336261569460647,0.045867043342788176,1.1877591136032766,-8.015454305439615,-4.621004439425567
0,21,0.2,1.3,3712,2010-09-02,2026-05-14,-3.1809754160561727,-0.16640324866231626,0.05231201971017615,-2.4511462660100007,0.37904094827586204,0.27990301724137934,1.2094811840061779,0.04497028345240261,1.1645109005537753,-7.310260025899765,-3.6122060028221084
0,21,0.2,1.5,3712,2010-09-02,2026-05-14,-1.6409797180952748,-0.09012361312301669,0.05492061366098136,-1.3611369886274147,0.4011314655172414,0.2629310344827586,1.1832744883798398,0.04377120782810874,1.1395032805517311,-6.195005910796581,-2.2301187783415712
0,21,0.3,0.85,3712,2010-09-02,2026-05-14,-6.623935391009634,-0.2981864584998158,0.045016510714239566,-4.392333864886182,0.31788793103448276,0.35479525862068967,1.4360310294871206,0.04956249353169749,1.3864685359554232,-8.237157863449559,-6.766131096866616
0,21,0.3,1.0,3712,2010-09-02,2026-05-14,-5.59660461666214,-0.2552770954544998,0.04561285153046047,-3.7602721362186613,0.3380926724137931,0.34401939655172414,1.4239522431232814,0.04902525295154057,1.374926990171741,-7.628363186377163,-5.801681946464468
0,21,0.3,1.15,3712,2010-09-02,2026-05-14,-4.462854141939092,-0.20720218643518962,0.04642817798772181,-3.0521210954262887,0.36179956896551724,0.3337823275862069,1.4157819728319387,0.04848704099267544,1.3672949318392633,-6.8765154641909625,-4.764764152788
0,21,0.3,1.3,3712,2010-09-02,2026-05-14,-3.2511767315373854,-0.15424841921983,0.047443874005240715,-2.2721036989841625,0.3863146551724138,0.32435344827586204,1.4112248928075866,0.047948275099060446,1.363276617708526,-5.987836057216114,-3.6541419687070116
0,21,0.3,1.5,3712,2010-09-02,2026-05-14,-1.5396107112633484,-0.07569864453794645,0.04916739275984311,-1.1587850060399907,0.4175646551724138,0.3114224137931034,1.410331503651441,0.047229228009620525,1.3631022756418205,-4.610530084013671,-2.076657495635087
0,30,0.1,0.85,3793,2010-09-02,2026-05-15,-5.07932326007634,-0.22875174002677964,0.045035869605854074,-3.447566647546854,0.3229633535460058,0.28183495913524914,1.2092846554497065,0.03802329732952684,1.1712613581201796,-6.712948796123316,-5.140947201930885
0,30,0.1,1.0,3793,2010-09-02,2026-05-15,-4.330109024621425,-0.2011598390328229,0.046456067939400214,-3.0321865335945306,0.33693646190350646,0.26311626680727657,1.1511253227504135,0.03714804325208115,1.1139772794983323,-5.884575705451374,-4.35608245244747
0,30,0.1,1.15,3793,2010-09-02,2026-05-15,-3.5547997477746063,-0.17060611735329895,0.047993172459321415,-2.572224223728506,0.3477458476140258,0.24650672291062484,1.0992788932012103,0.03626784401087735,1.063011049190333,-5.4437275024578184,-3.549925582593184
0,30,0.1,1.3,3793,2010-09-02,2026-05-15,-2.749327957837954,-0.13666049684687812,0.04970687344057225,-2.0612065633516874,0.363037173741102,0.23147904033746375,1.053054391453697,0.03538253410781403,1.017671857345883,-5.171396993740475,-2.7169474561954385
0,30,0.1,1.5,3793,2010-09-02,2026-05-15,-1.6400178843087154,-0.08578490460923546,0.05230729824961311,-1.2953361057321717,0.37911943052992353,0.21486949644081202,0.9991563038848009,0.03419779633132064,0.9649585075534803,-4.9724354611462225,-1.574613759146563
0,30,0.2,0.85,3793,2010-09-02,2026-05-15,-5.443013152848943,-0.2269946187077407,0.04170385268845599,-3.4212656108495745,0.32454521486949645,0.3229633535460058,1.3832367881475627,0.039722864304752414,1.3435139238428102,-7.4996562032544665,-5.509127045032757
0,30,0.2,1.0,3793,2010-09-02,2026-05-15,-4.61212390504024,-0.1963824001226482,0.04257960197210592,-2.9604554107728127,0.33799103611916687,0.30872660163459004,1.347102307645249,0.03916170262000108,1.307940605025248,-6.623558164315506,-4.720455720548438
0,30,0.2,1.15,3793,2010-09-02,2026-05-15,-3.713894670836427,-0.16206285645213037,0.04363690163987104,-2.4438432053458063,0.3575006591088848,0.2958080674927498,1.3156477889396254,0.038598589178155694,1.2770491997614697,-5.683290826789196,-3.8565952721538244
0,30,0.2,1.3,3793,2010-09-02,2026-05-15,-2.7768711225000224,-0.12453304349820646,0.0448465333839797,-1.8789107933084483,0.37516477722119695,0.28183495913524914,1.2884521711648684,0.03803385336134759,1.2504183178035209,-4.72226030475063,-2.925010288715404
0,30,0.2,1.5,3793,2010-09-02,2026-05-15,-1.4980006869402913,-0.0698700405701294,0.04664219528019105,-1.0572875348688184,0.3957289744265753,0.2644344845768521,1.2581734495646806,0.037278446132501177,1.2208950034321795,-3.7345916842900153,-1.6256434092097933
0,30,0.3,0.85,3793,2010-09-02,2026-05-15,-5.725719159415248,-0.2256739296891753,0.039414075927577064,-3.401486522089613,0.31663590825204324,0.3532823622462431,1.524497909508631,0.040927412407083696,1.4835704971015473,-8.163777969192923,-5.763903486966567
0,30,0.3,1.0,3793,2010-09-02,2026-05-15,-4.869324180102586,-0.19425267932510748,0.039893149878761004,-2.9285190526305307,0.33667281834959134,0.34405483785921437,1.5090787322989991,0.04058740102674235,1.4684913312722567,-7.367479913774437,-4.972768122030546
0,30,0.3,1.15,3793,2010-09-02,2026-05-15,-3.925591614823489,-0.15911557036849805,0.04053288930199954,-2.399622035978692,0.35618244133930926,0.3343000263643554,1.4975271548276996,0.0402470288875128,1.4572801259401869,-6.4568356284368935,-4.086804213692244
0,30,0.3,1.3,3793,2010-09-02,2026-05-15,-2.911771124437483,-0.12034168653594818,0.04132937699874906,-1.8159866303654126,0.37595570788294225,0.3250725019773267,1.4895523065904914,0.039906542723592425,1.449645763866899,-5.456061919348117,-3.1221127635496395
0,30,0.3,1.5,3793,2010-09-02,2026-05-15,-1.4714199146251299,-0.06282707181954988,0.04269826117961451,-0.9659266146998751,0.4044292117057738,0.3153176904824677,1.4840260144915944,0.0394524471747511,1.4445735673168434,-4.011242215055904,-1.7352942209826305
0,45,0.1,0.85,3848,2010-09-02,2026-05-15,-4.7398915810939215,-0.20409995850273258,0.043060047895785054,-3.122570839297997,0.3256237006237006,0.2707900207900208,1.7657171926263544,0.03848101592965902,1.7272361766966955,-7.040837206631237,-5.63220723329736
0,45,0.1,1.0,3848,2010-09-02,2026-05-15,-4.197055088532993,-0.18570187815505365,0.04424575666457657,-2.8431463307954177,0.33965696465696466,0.25727650727650725,1.7035547043814696,0.037648009175632775,1.6659066952058368,-6.736577989095856,-4.9938571041954685
0,45,0.1,1.15,3848,2010-09-02,2026-05-15,-3.6356348629108632,-0.1654252117724588,0.04550105222613349,-2.535132109618732,0.3471933471933472,0.24272349272349272,1.646728876025436,0.03681188293091486,1.609916993094521,-6.405656347417549,-4.368882360314892
0,45,0.1,1.3,3848,2010-09-02,2026-05-15,-3.0686122290891706,-0.143705710482602,0.046830847221532745,-2.2051849506041523,0.35732848232848236,0.23076923076923078,1.5948054505889713,0.03597297457961219,1.558832476009359,-6.052446144590606,-3.7767464762875114
0,45,0.1,1.5,3848,2010-09-02,2026-05-15,-2.2639554572089193,-0.11065565532040174,0.04887713447190422,-1.7016227234154369,0.36824324324324326,0.21543659043659044,1.532575555704722,0.03485026214161989,1.4977252935631022,-5.631367201241482,-2.945797292454861
0,45,0.2,0.85,3848,2010-09-02,2026-05-15,-4.943957878888047,-0.20126530487148492,0.04070934862348621,-3.0783438252945388,0.329002079002079,0.3004158004158004,1.9376670172774622,0.04009932514418968,1.8975676921332725,-7.27015121161855,-5.974857208814742
0,45,0.2,1.0,3848,2010-09-02,2026-05-15,-4.386501676411649,-0.18151311102772982,0.04137992514714266,-2.778056211925099,0.34173596673596673,0.29002079002079,1.8987770382441158,0.03956415900068835,1.8592128792434275,-6.659608753917787,-5.384868845876843
0,45,0.2,1.15,3848,2010-09-02,2026-05-15,-3.784113054302625,-0.15949072287413105,0.04214745188249235,-2.444709381762258,0.3552494802494803,0.2801455301455301,1.8638126133399595,0.03902698043281434,1.8247856329071452,-6.2656501530799,-4.7347757128444306
0,45,0.2,1.3,3848,2010-09-02,2026-05-15,-3.13545559164236,-0.13496671043631753,0.04304532674488354,-2.0757410282374016,0.3711018711018711,0.27104989604989604,1.8324869222627764,0.03848829212256368,1.7939986301402127,-5.872902031820954,-4.015746233155984
0,45,0.2,1.5,3848,2010-09-02,2026-05-15,-2.218286196734501,-0.09861117645049436,0.04445376642367341,-1.5286961031108197,0.38461538461538464,0.25935550935550933,1.795969102208134,0.037768412697929306,1.7582006895102047,-5.354406330995967,-3.026795391647819
0,45,0.3,0.85,3848,2010-09-02,2026-05-15,-5.07311974073328,-0.1985107916613482,0.03912992434762737,-3.0363269055383264,0.32744282744282743,0.3240644490644491,2.075171720276638,0.04124647387410445,2.0339252464025335,-7.723436757312837,-6.129879073370686
0,45,0.3,1.0,3848,2010-09-02,2026-05-15,-4.50651309441618,-0.17799209319262224,0.03949663286525549,-2.7243766445204742,0.3432952182952183,0.3167879417879418,2.0571842913574523,0.04092171577249114,2.0162625755849612,-7.044026840935977,-5.561116462527819
0,45,0.3,1.15,3848,2010-09-02,2026-05-15,-3.8729475843455607,-0.15481736922896133,0.03997404195572709,-2.3728101209685795,0.36096673596673595,0.31003118503118504,2.0424604636496375,0.04059656890492738,2.00186389474471,-6.309660601518598,-4.929814280245869
0,45,0.3,1.3,3848,2010-09-02,2026-05-15,-3.1834873798860324,-0.12912478731194504,0.04056079761075343,-1.9884849975529066,0.3765592515592516,0.30353430353430355,2.030797673402211,0.04027127224330705,1.9905264011589041,-5.828003736823883,-4.23044622350948
0,45,0.3,1.5,3848,2010-09-02,2026-05-15,-2.190669373327677,-0.09099422845626369,0.041537180171575316,-1.436547420348133,0.3957900207900208,0.29573804573804574,2.0197124314421195,0.039837356524628165,1.9798750749174914,-5.157578265185525,-3.2150167685044275
0,60,0.1,0.85,3874,2010-09-02,2026-05-15,-5.21507373971873,-0.21405165112125102,0.04104479855979864,-3.2941253652738673,0.31440371708828085,0.3376355188435725,2.6329281842945393,0.028222832904718446,2.604705351389821,-10.99012961564084,-6.858478493534361
0,60,0.1,1.0,3874,2010-09-02,2026-05-15,-4.748418418389882,-0.19947787460551372,0.042009329639731655,-3.070052887502965,0.32576148683531236,0.32550335570469796,2.5490807595356677,0.027628263641704197,2.5214524958939637,-10.081730510611397,-6.3794698384804045
0,60,0.1,1.15,3874,2010-09-02,2026-05-15,-4.235593579983836,-0.18250803293749818,0.04308912776711563,-2.8091450009839463,0.33815178110480126,0.31491997934950955,2.4704678249294454,0.02702669202940726,2.443441132900038,-9.08310081254033,-5.895125580708953
0,60,0.1,1.3,3874,2010-09-02,2026-05-15,-3.6973638194515264,-0.16360294955675095,0.04424853964764012,-2.5184859557260597,0.348218895198761,0.3017552916881776,2.3967805560489426,0.026418882694501784,2.3703616733544406,-8.525077416249674,-5.419130311525607
0,60,0.1,1.5,3874,2010-09-02,2026-05-15,-2.966178878713249,-0.1361452625782231,0.04589920842443728,-2.0963362850636713,0.36164171399070727,0.2854930304594734,2.3057673679210016,0.025599706776365885,2.2801676611446355,-7.77098880459243,-4.794460280527848
0,60,0.2,0.85,3874,2010-09-02,2026-05-15,-5.467736754985886,-0.21358703390106715,0.03906315235573526,-3.2870387538988024,0.31388745482705216,0.36499741868869384,2.8385969967065336,0.02936617619238368,2.80923082051415,-12.08274596606951,-7.263403665854435
0,60,0.2,1.0,3874,2010-09-02,2026-05-15,-4.996488018833674,-0.19838335507327876,0.03970455934758495,-3.0532939926743006,0.3229220443985545,0.3564790913784202,2.7841841458319756,0.0289898010348947,2.755194344797081,-11.233518913420637,-6.760802242151641
