long_dte,short_delta,slippage,sharpe,ann_return,maxdd_frac
60,0.3,0.0,0.7775328759090894,0.04135116218898369,-0.0990694490268576
60,0.3,0.02,0.6396183133816373,0.03401112475556077,-0.10378585529865403
60,0.3,0.05,0.4323278604684121,0.023001068605426396,-0.11086046470634811
60,0.3,0.1,0.0871608505662141,0.004650975021869099,-0.12327758497014026
60,0.3,0.2,-0.5925825256731025,-0.03204921214524551,-0.49496894715285766
45,0.3,0.0,0.7677780320145626,0.04527343769038627,-0.08771289581598535
45,0.3,0.02,0.6069310622474159,0.035783972661806177,-0.09629497904599563
45,0.3,0.05,0.36521060396750454,0.02154977511893603,-0.12515750211164453
45,0.3,0.1,-0.03669394813316252,-0.0021738874525142077,-0.18226416049086566
45,0.3,0.2,-0.822901518286813,-0.049621212595414695,-0.7496346919264365
120,0.3,0.0,0.5698276830990517,0.025821088665369567,-0.08378071697752112
120,0.3,0.02,0.48177220581795055,0.02183350648139172,-0.0868843722100553
120,0.3,0.05,0.349572061344475,0.015852133205424942,-0.09458953037183455
120,0.3,0.1,0.12944932075082852,0.0058831777454803145,-0.11391805170289633
120,0.3,0.2,-0.30655164389491757,-0.014054733174408949,-0.22447298460351645
