front_dte,long_dte,short_delta,front_vol_mult,year,year_sharpe,stress
0,7,0.2,1.0,2013,-6.922477334387412,0
0,7,0.2,1.0,2014,-5.874018008569282,0
0,7,0.2,1.0,2015,-6.210333489286772,1
0,7,0.2,1.0,2016,-6.232993347082997,0
0,7,0.2,1.0,2017,-6.940818499391924,0
0,7,0.2,1.0,2018,-6.1962487180608745,1
0,7,0.2,1.0,2019,-7.5111801524020745,0
0,7,0.2,1.0,2020,-7.275704049571029,1
0,7,0.2,1.0,2021,-5.105300751766814,0
0,7,0.2,1.0,2022,-8.321131976549909,1
0,7,0.2,1.0,2023,-5.454859092609015,0
0,7,0.2,1.0,2024,-6.346989841984083,0
0,7,0.2,1.0,2025,-6.380845907639549,0
0,7,0.2,1.0,2026,-9.190149389358385,0
0,7,0.2,1.15,2010,-3.3942686169235343,0
0,7,0.2,1.15,2011,-5.853819110948234,1
0,7,0.2,1.15,2012,-4.115545167855391,0
0,7,0.2,1.15,2013,-5.072357808390968,0
0,7,0.2,1.15,2014,-3.803183791439313,0
0,7,0.2,1.15,2015,-3.9302822973220635,1
0,7,0.2,1.15,2016,-4.177702214073656,0
0,7,0.2,1.15,2017,-4.795067471202784,0
0,7,0.2,1.15,2018,-4.029627755901193,1
0,7,0.2,1.15,2019,-5.866623574062421,0
0,7,0.2,1.15,2020,-5.437220146591148,1
0,7,0.2,1.15,2021,-2.9347148130368392,0
0,7,0.2,1.15,2022,-5.840837680442366,1
0,7,0.2,1.15,2023,-3.2430374499135532,0
0,7,0.2,1.15,2024,-4.178545378302915,0
0,7,0.2,1.15,2025,-4.33886450761279,0
0,7,0.2,1.15,2026,-7.112500146277737,0
0,7,0.2,1.3,2010,-1.641206113977947,0
0,7,0.2,1.3,2011,-3.551838721563594,1
0,7,0.2,1.3,2012,-2.12121803257296,0
0,7,0.2,1.3,2013,-3.3007618640992438,0
0,7,0.2,1.3,2014,-1.819297829395279,0
0,7,0.2,1.3,2015,-1.8088245119499249,1
0,7,0.2,1.3,2016,-2.2441479780214575,0
0,7,0.2,1.3,2017,-2.7297097969243493,0
0,7,0.2,1.3,2018,-1.9860034512577387,1
0,7,0.2,1.3,2019,-4.292529970745655,0
0,7,0.2,1.3,2020,-3.661189519774135,1
0,7,0.2,1.3,2021,-0.8390201013886311,0
0,7,0.2,1.3,2022,-3.4029870159191944,1
0,7,0.2,1.3,2023,-1.2176826613095486,0
0,7,0.2,1.3,2024,-2.1305919067590735,0
0,7,0.2,1.3,2025,-2.408880349120955,0
0,7,0.2,1.3,2026,-5.005861878153988,0
0,7,0.2,1.5,2010,0.6479026771693389,0
0,7,0.2,1.5,2011,-0.6303328703248791,1
0,7,0.2,1.5,2012,0.30489297901775114,0
0,7,0.2,1.5,2013,-0.9110506681561609,0
0,7,0.2,1.5,2014,0.831332356951084,0
0,7,0.2,1.5,2015,0.8802847302291943,1
0,7,0.2,1.5,2016,0.25531469922998123,0
0,7,0.2,1.5,2017,-0.05925735277316648,0
0,7,0.2,1.5,2018,0.6925147185887283,1
0,7,0.2,1.5,2019,-2.2812435809868714,0
0,7,0.2,1.5,2020,-1.2739916237506557,1
0,7,0.2,1.5,2021,1.6487275344145946,0
0,7,0.2,1.5,2022,-0.37033530568819983,1
0,7,0.2,1.5,2023,1.2438970133934806,0
0,7,0.2,1.5,2024,0.33259175145482994,0
0,7,0.2,1.5,2025,0.013112819213417025,0
0,7,0.2,1.5,2026,-2.328272095636412,0
0,7,0.3,0.85,2010,-6.694839779488328,0
0,7,0.3,0.85,2011,-12.412668583184061,1
0,7,0.3,0.85,2012,-8.489021076020492,0
0,7,0.3,0.85,2013,-9.372399519449802,0
0,7,0.3,0.85,2014,-8.640085967927563,0
0,7,0.3,0.85,2015,-9.88385261515331,1
0,7,0.3,0.85,2016,-8.844558476054734,0
0,7,0.3,0.85,2017,-9.668173632313607,0
0,7,0.3,0.85,2018,-9.36548021578288,1
0,7,0.3,0.85,2019,-9.354405509640026,0
0,7,0.3,0.85,2020,-9.243150258886454,1
0,7,0.3,0.85,2021,-9.047366898794683,0
0,7,0.3,0.85,2022,-11.646281198385783,1
0,7,0.3,0.85,2023,-9.519696783958603,0
0,7,0.3,0.85,2024,-10.534137863092983,0
0,7,0.3,0.85,2025,-8.815999404405163,0
0,7,0.3,0.85,2026,-12.139262186688253,0
0,7,0.3,1.0,2010,-3.9859046070753545,0
0,7,0.3,1.0,2011,-9.939702976410514,1
0,7,0.3,1.0,2012,-6.020662903285521,0
0,7,0.3,1.0,2013,-6.9139486508285035,0
0,7,0.3,1.0,2014,-6.330437989055277,0
0,7,0.3,1.0,2015,-7.28970032298318,1
0,7,0.3,1.0,2016,-6.573345369635853,0
0,7,0.3,1.0,2017,-7.246283066514302,0
0,7,0.3,1.0,2018,-6.882881234465448,1
0,7,0.3,1.0,2019,-7.313564014361033,0
0,7,0.3,1.0,2020,-7.380823556140252,1
0,7,0.3,1.0,2021,-6.0975883463553515,0
