n,rank_ic,baseline_mean_div,flagged_n,flagged_mean_div,hit_rate,horizon,threshold,fm_n_dates,fm_mean_ic,fm_ic_t_stat,fm_mean_diff_harvest,fm_ic_sn,fm_t_sn,fm_ic_sn_nonoverlap,fm_nd_sn_nonoverlap,fm_ic_etf,loo_min_ic_sn,ctrl_ic_gap,ctrl_ic_neg_iv,ctrl_ic_hv_only,de_ic_ret,de_excess_ret
1395,0.3515660870635421,0.021098917562724015,98,0.03181632653061225,0.7040816326530612,20,0.1,109,0.3448552067079862,13.601863471958898,0.015496914529914528,0.36892837848318166,13.434695552310627,0.48207070707070704,6,0.23853211009174313,0.2919172120948004,0.36892837848318166,-0.13590492076730606,0.24742841256602718,0.3458078273027547,0.15620296296296296
1395,0.3515660870635421,0.021098917562724015,63,0.03690666666666667,0.746031746031746,20,0.15,109,0.3448552067079862,13.601863471958898,0.025976780358006775,0.36892837848318166,13.434695552310627,0.48207070707070704,6,0.23853211009174313,0.2919172120948004,0.36892837848318166,-0.13590492076730606,0.24742841256602718,0.3458078273027547,0.22354957023060798
1395,0.3515660870635421,0.021098917562724015,50,0.031737,0.68,20,0.2,109,0.3448552067079862,13.601863471958898,0.02339261655011655,0.36892837848318166,13.434695552310627,0.48207070707070704,6,0.23853211009174313,0.2919172120948004,0.36892837848318166,-0.13590492076730606,0.24742841256602718,0.3458078273027547,0.2658670959595959
1395,0.3515660870635421,0.021098917562724015,39,0.033691794871794876,0.6666666666666666,20,0.25,109,0.3448552067079862,13.601863471958898,0.024866114672364676,0.36892837848318166,13.434695552310627,0.48207070707070704,6,0.23853211009174313,0.2919172120948004,0.36892837848318166,-0.13590492076730606,0.24742841256602718,0.3458078273027547,0.31132806481481473
1136,0.41508316352116736,0.04041173415492958,75,0.05743093333333333,0.8666666666666667,40,0.1,89,0.43139768062833206,24.03943571181379,0.01777223328754579,0.46470023184550335,22.18561599403155,0.5878787878787878,3,0.5561797752808989,0.38206770189675815,0.46470023184550335,-0.13535921007831117,0.2485359210078311,0.38077813681322514,0.41145552976190475
1136,0.41508316352116736,0.04041173415492958,48,0.042943125,0.8125,40,0.15,89,0.43139768062833206,24.03943571181379,0.031420447031039134,0.46470023184550335,22.18561599403155,0.5878787878787878,3,0.5561797752808989,0.38206770189675815,0.46470023184550335,-0.13535921007831117,0.2485359210078311,0.38077813681322514,0.5220074649122806
1136,0.41508316352116736,0.04041173415492958,39,0.036198205128205124,0.7692307692307693,40,0.2,89,0.43139768062833206,24.03943571181379,0.030119687257187257,0.46470023184550335,22.18561599403155,0.5878787878787878,3,0.5561797752808989,0.38206770189675815,0.46470023184550335,-0.13535921007831117,0.2485359210078311,0.38077813681322514,0.542225898989899
1136,0.41508316352116736,0.04041173415492958,34,0.037722941176470584,0.7647058823529411,40,0.25,89,0.43139768062833206,24.03943571181379,0.028844747725392885,0.46470023184550335,22.18561599403155,0.5878787878787878,3,0.5561797752808989,0.38206770189675815,0.46470023184550335,-0.13535921007831117,0.2485359210078311,0.38077813681322514,0.546383017921147
