ticker,asset_class,market_date,expiry,strike,dte,hv20,hv60,atm_iv,entry_iv_fixed,gap,horizon,iv_fwd,fwd_ret,d_iv,entry_idx
SPY,etf,2025-12-26,2027-03-19,710,448,0.08393408175309866,0.12823389109276298,0.20596976572757766,0.2047636454367167,-0.07774,20,0.2109014811830617,0.0075,0.00614,0
SPY,etf,2025-12-26,2027-03-19,710,448,0.08393408175309866,0.12823389109276298,0.20596976572757766,0.2047636454367167,-0.07774,40,0.20916902753579,0.00411,0.00441,0
SPY,etf,2025-12-29,2027-03-19,705,445,0.08338216881669828,0.1285019393904861,0.20633073773592223,0.2068604929471392,-0.07783,20,0.2146824853606427,0.01101,0.00782,1
SPY,etf,2025-12-29,2027-03-19,705,445,0.08338216881669828,0.1285019393904861,0.20633073773592223,0.2068604929471392,-0.07783,40,0.2109838164583244,0.00211,0.00412,1
SPY,etf,2025-12-30,2027-03-19,705,444,0.0815982442829804,0.12854469940517796,0.20688705930866613,0.2069368385013068,-0.07834,20,0.2143237786262979,0.01023,0.00739,2
SPY,etf,2025-12-30,2027-03-19,705,444,0.0815982442829804,0.12854469940517796,0.20688705930866613,0.2069368385013068,-0.07834,40,0.2101923368443969,-0.00148,0.00326,2
SPY,etf,2025-12-31,2027-03-19,700,443,0.08608467746296415,0.12937441116620543,0.20764392623296793,0.2079987817879382,-0.07827,20,0.2163795960938753,0.01474,0.00838,3
SPY,etf,2025-12-31,2027-03-19,700,443,0.08608467746296415,0.12937441116620543,0.20764392623296793,0.2079987817879382,-0.07827,40,0.2163124129790133,0.00654,0.00831,3
SPY,etf,2026-01-02,2027-03-19,700,441,0.08541690664186409,0.12914688159109922,0.20686776844540278,0.2076332428017797,-0.07772,20,0.2176040020029796,0.01792,0.00997,4
SPY,etf,2026-01-02,2027-03-19,700,441,0.08541690664186409,0.12914688159109922,0.20686776844540278,0.2076332428017797,-0.07772,40,0.2149749865309474,-0.00416,0.00734,4
SPY,etf,2026-01-05,2027-03-19,705,438,0.08864817591703261,0.12928288122489173,0.20746673256766296,0.2077765563595929,-0.07818,20,0.2124835480174336,0.00263,0.00471,5
SPY,etf,2026-01-05,2027-03-19,705,438,0.08864817591703261,0.12928288122489173,0.20746673256766296,0.2077765563595929,-0.07818,40,0.2112023573857237,-0.00377,0.00343,5
SPY,etf,2026-01-06,2027-03-19,710,437,0.09077625784944979,0.12959837392243728,0.20708234320622002,0.2070717183749591,-0.07748,20,0.208750663525195,-0.00812,0.00168,6
SPY,etf,2026-01-06,2027-03-19,710,437,0.09077625784944979,0.12959837392243728,0.20708234320622002,0.2070717183749591,-0.07748,40,0.2087336982971305,-0.01518,0.00166,6
SPY,etf,2026-01-07,2027-03-19,705,436,0.09089045455309774,0.11613697428502223,0.2082883954473734,0.2097855401468375,-0.09215,20,0.2095386837949715,-0.01734,-0.00025,7
SPY,etf,2026-01-07,2027-03-19,705,436,0.09089045455309774,0.11613697428502223,0.2082883954473734,0.2097855401468375,-0.09215,40,0.2151524818594629,-0.02494,0.00537,7
SPY,etf,2026-01-08,2027-03-19,710,435,0.09078646385156376,0.1122479615540934,0.20778670556522513,0.2064091162938497,-0.09554,20,0.2085568671389699,0.00161,0.00215,8
SPY,etf,2026-01-08,2027-03-19,710,435,0.09078646385156376,0.1122479615540934,0.20778670556522513,0.2064091162938497,-0.09554,40,0.2106584190480176,-0.0163,0.00425,8
SPY,etf,2026-01-09,2027-03-19,710,434,0.09076980528707343,0.11283132053127853,0.20624269776054976,0.2072644331933458,-0.09341,20,0.2094892277177057,-0.00017,0.00222,9
SPY,etf,2026-01-09,2027-03-19,710,434,0.09076980528707343,0.11283132053127853,0.20624269776054976,0.2072644331933458,-0.09341,40,0.212334700427428,-0.02433,0.00507,9
SPY,etf,2026-01-12,2027-03-19,715,431,0.09060468042534223,0.11258843522149267,0.20668699567101048,0.2053862375078649,-0.0941,20,0.2060391464160781,-0.00437,0.00065,10
SPY,etf,2026-01-12,2027-03-19,715,431,0.09060468042534223,0.11258843522149267,0.20668699567101048,0.2053862375078649,-0.0941,40,0.2074586376849263,-0.02709,0.00207,10
SPY,etf,2026-01-13,2027-03-19,710,430,0.08099269042800768,0.11163248229624576,0.20781770360133764,0.2088375995684158,-0.09619,20,0.2097780991711824,-0.00261,0.00094,11
SPY,etf,2026-01-13,2027-03-19,710,430,0.08099269042800768,0.11163248229624576,0.20781770360133764,0.2088375995684158,-0.09619,40,0.2123791820327778,-0.03994,0.00354,11
SPY,etf,2026-01-14,2027-03-19,710,429,0.08320379125083537,0.11177854737415889,0.20895599577309906,0.2077135302307151,-0.09718,20,0.2078513681869431,-0.01317,0.00014,12
SPY,etf,2026-01-14,2027-03-19,710,429,0.08320379125083537,0.11177854737415889,0.20895599577309906,0.2077135302307151,-0.09718,40,0.2117052973579773,-0.04066,0.00399,12
SPY,etf,2026-01-15,2027-03-19,710,428,0.08246385412880373,0.11002850400836706,0.20845192353274195,0.2084038814216251,-0.09842,20,0.2066598489462831,-0.01515,-0.00174,13
SPY,etf,2026-01-15,2027-03-19,710,428,0.08246385412880373,0.11002850400836706,0.20845192353274195,0.2084038814216251,-0.09842,40,0.209595728527453,-0.03353,0.00119,13
SPY,etf,2026-01-16,2027-03-19,710,427,0.06965622187068353,0.1100582752155667,0.20864716658439303,0.2081829295810393,-0.09859,20,0.2062658132296137,-0.01274,-0.00192,14
SPY,etf,2026-01-16,2027-03-19,710,427,0.06965622187068353,0.1100582752155667,0.20864716658439303,0.2081829295810393,-0.09859,40,0.2082389813034954,-0.03017,6e-05,14
SPY,etf,2026-01-20,2027-03-19,695,423,0.10146901817678365,0.11769467739955755,0.21417713426326615,0.2150085229055335,-0.09648,20,0.217533142831338,0.01285,0.00252,15
SPY,etf,2026-01-20,2027-03-19,695,423,0.10146901817678365,0.11769467739955755,0.21417713426326615,0.2150085229055335,-0.09648,40,0.2206915054136325,-0.02383,0.00568,15
SPY,etf,2026-01-21,2027-03-19,705,422,0.10734191131368165,0.11937932685696653,0.2097209497000611,0.2088515680346264,-0.09034,20,0.2109811922672955,-0.00134,0.00213,16
SPY,etf,2026-01-21,2027-03-19,705,422,0.10734191131368165,0.11937932685696653,0.2097209497000611,0.2088515680346264,-0.09034,40,0.2130497406583233,-0.03735,0.0042,16
