start,year,month,equity,drawdown_pct
2015-08-01,2015,9,135817.9667949857,-0.050224008426673454
2015-08-01,2015,10,142480.18601936146,-0.003635062801668142
2015-08-01,2015,11,148744.78637346,0.0
2015-08-01,2015,12,161420.72633764744,0.0
2015-08-01,2016,1,157612.39623200224,-0.02663167906045597
2015-08-01,2016,2,167560.11809327407,0.0
2015-08-01,2016,3,171820.78211990732,0.0
2015-08-01,2016,4,171820.78211990732,0.0
2015-08-01,2016,5,184593.01851332118,0.0
2015-08-01,2016,6,211183.94042579163,0.0
2015-08-01,2016,7,228735.23016640244,0.0
2015-08-01,2016,8,235298.18679882705,0.0
2015-08-01,2016,9,258994.60284370085,0.0
2015-08-01,2016,10,273122.7760849348,0.0
2015-08-01,2016,11,279192.392927508,0.0
2015-08-01,2016,12,295943.30051158695,0.0
2015-08-01,2017,1,301775.68419513694,0.0
2015-08-01,2017,2,308779.1033173095,0.0
2015-08-01,2017,3,329598.8080850424,0.0
2015-08-01,2017,4,337540.49845129764,0.0
2015-08-01,2017,5,354104.80516594136,0.0
2015-08-01,2017,6,354104.80516594136,0.0
2015-08-01,2017,7,354104.80516594136,0.0
2015-08-01,2017,8,359522.13391471986,0.0
2015-08-01,2017,9,366769.31440029264,0.0
2015-08-01,2017,10,366769.31440029264,0.0
2015-08-01,2017,11,372642.2897839931,0.0
2015-08-01,2017,12,395303.8758717878,0.0
2015-08-01,2018,1,400611.05193311267,0.0
2015-08-01,2018,2,400611.05193311267,0.0
2015-08-01,2018,3,380971.43902726576,-0.1373399503905378
2015-08-01,2018,4,380971.43902726576,-0.1373399503905378
2015-08-01,2018,5,386501.6749173866,-0.09866697213794447
2015-08-01,2018,6,386501.6749173866,-0.09866697213794447
2015-08-01,2018,7,390712.0515474403,-0.06922377892078586
2015-08-01,2018,8,403556.52107888466,0.0
2015-08-01,2018,9,417256.38539629156,0.0
2015-08-01,2018,10,373670.0939595387,-0.30479924081645376
2015-08-01,2018,11,343619.2085854144,-0.5149452923837564
2015-08-01,2018,12,349648.4764581173,-0.47278257998723255
2015-08-01,2019,1,349648.4764581173,-0.47278257998723255
2015-08-01,2019,2,356259.46769828367,-0.4265518720140412
2015-08-01,2019,3,368769.10792891413,-0.33907187040124076
2015-08-01,2019,4,389418.14275969344,-0.1946730254307561
2015-08-01,2019,5,396308.0553602551,-0.14649181843382125
2015-08-01,2019,6,412762.94821541617,-0.03142263762849925
2015-08-01,2019,7,418892.3851624231,0.0
2015-08-01,2019,8,402411.43506962503,-0.11525139925033595
2015-08-01,2019,9,418174.38167903456,-0.005021003380339264
2015-08-01,2019,10,418174.38167903456,-0.005021003380339264
2015-08-01,2019,11,435516.453050045,0.0
2015-08-01,2019,12,447074.3999412997,0.0
2015-08-01,2020,1,467272.372596982,0.0
2015-08-01,2020,2,457342.5165720658,-0.06943955262179138
2015-08-01,2020,3,416142.7805875423,-0.3575495944716064
2015-08-01,2020,4,395216.82926698023,-0.5038849183916208
2015-08-01,2020,5,395216.82926698023,-0.5038849183916208
2015-08-01,2020,6,403632.06262671895,-0.4450371326591821
2015-08-01,2020,7,423025.0252509429,-0.3094220094128607
2015-08-01,2020,8,443823.1993944486,-0.1639802321855482
2015-08-01,2020,9,466515.02009950334,-0.005296171311039552
2015-08-01,2020,10,482531.52624084725,0.0
2015-08-01,2020,11,493958.96543268656,0.0
2015-08-01,2020,12,514306.85564525216,0.0
2015-08-01,2021,1,521496.71894627437,0.0
2015-08-01,2021,2,541620.5063495943,0.0
2015-08-01,2021,3,559374.1000607191,0.0
2015-08-01,2021,4,564845.9204510339,0.0
2015-08-01,2021,5,564845.9204510339,0.0
2015-08-01,2021,6,576335.7411959526,0.0
2015-08-01,2021,7,582980.3602458754,0.0
2015-08-01,2021,8,582980.3602458754,0.0
2015-08-01,2021,9,582980.3602458754,0.0
2015-08-01,2021,10,595189.4340834261,0.0
2015-08-01,2021,11,601919.3894698442,0.0
2015-08-01,2021,12,611254.2767350015,0.0
2015-08-01,2022,1,620317.5236709818,0.0
2015-08-01,2022,2,620317.5236709818,0.0
2015-08-01,2022,3,631206.948278513,0.0
2015-08-01,2022,4,635417.5892401995,0.0
2015-08-01,2022,5,635417.5892401995,0.0
2015-08-01,2022,6,630377.3272982934,-0.035246587006336934
2015-08-01,2022,7,630377.3272982934,-0.035246587006336934
2015-08-01,2022,8,630377.3272982934,-0.035246587006336934
2015-08-01,2022,9,630377.3272982934,-0.035246587006336934
2015-08-01,2022,10,617926.5626832847,-0.12231487102737615
2015-08-01,2022,11,631653.5935224006,-0.026321648376216377
2015-08-01,2022,12,631653.5935224006,-0.026321648376216377
2015-08-01,2023,1,637637.3287142488,0.0
2015-08-01,2023,2,642693.0701187742,0.0
2015-08-01,2023,3,654997.8368827116,0.0
2015-08-01,2023,4,670293.1349874502,0.0
2015-08-01,2023,5,692283.843742492,0.0
2015-08-01,2023,6,710644.776893021,0.0
2015-08-01,2023,7,719281.959250136,0.0
2015-08-01,2023,8,730876.6613581844,0.0
2015-08-01,2023,9,749656.4767212841,0.0
2015-08-01,2023,10,754101.2317432327,0.0
2015-08-01,2023,11,776740.9515140645,0.0
2015-08-01,2023,12,787419.0060104734,0.0
2015-08-01,2024,1,789126.8010036506,0.0
2015-08-01,2024,2,794351.4291749215,0.0
2015-08-01,2024,3,796280.4166361815,0.0
2015-08-01,2024,4,796280.4166361815,0.0
2015-08-01,2024,5,808799.4122512705,0.0
2015-08-01,2024,6,813809.5659623881,0.0
2015-08-01,2024,7,823972.0306952033,0.0
2015-08-01,2024,8,839992.7043725938,0.0
2015-08-01,2024,9,845894.3051453743,0.0
2015-08-01,2024,10,849506.0731715717,0.0
2015-08-01,2024,11,859594.5738016836,0.0
2015-08-01,2024,12,873096.4755799026,0.0
2015-08-01,2025,1,883383.1995253733,0.0
2015-08-01,2025,2,883383.1995253733,0.0
2015-08-01,2025,3,883383.1995253733,0.0
2015-08-01,2025,4,842504.9075708208,-0.2858621815003673
2015-08-01,2025,5,849962.4905803634,-0.2337112513637053
2015-08-01,2025,6,849962.4905803634,-0.2337112513637053
2015-08-01,2025,7,856102.9555587887,-0.19077093682926266
2015-08-01,2025,8,880859.036030212,-0.01765149297315621
2015-08-01,2025,9,895956.2103850226,0.0
2015-08-01,2025,10,907875.5780645316,0.0
2015-08-01,2025,11,930818.5974837141,0.0
2015-08-01,2025,12,938829.7396946192,0.0
2015-08-01,2026,1,942920.6669171937,0.0
2015-08-01,2026,2,949077.4349699825,0.0
2015-08-01,2026,3,944012.7585215215,-0.03541731782140572
2015-08-01,2026,4,962598.6391947502,0.0
2015-08-01,2026,5,978789.7381872209,0.0
