sector,deviation_class,verdict,mean_realized_vrp,mean_holdout,rich_cheap_spread,n,n_holdout,survives_walkforward,survives_window_gate,confidence,as_of,inserted_at
Semi-Cap,CHEAP,NONE,-0.0720538298330076,-0.122403844103331,0.162727427664627,339,136,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Semi-Logic,CHEAP,NONE,-0.0650430687407556,-0.113602282025895,0.129397393430417,190,76,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Semi-Logic,NORMAL,NONE,-0.00545032189384628,-0.0578125001646343,0.129397393430417,331,132,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Semi-Logic,RICH,HARVEST_SELLABLE,0.0643543246896611,0.0622740419026977,0.129397393430417,219,88,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
AI-Cloud/NeoCloud,NORMAL,HARVEST_SELLABLE,0.0561178878710411,0.0528662993853115,0.285512020355097,553,221,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
AI-Cloud/NeoCloud,CHEAP,NONE,-0.0520275285377881,-0.023358117538135,0.285512020355097,247,99,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
AI-Cloud/NeoCloud,RICH,HARVEST_SELLABLE,0.233484491817309,0.260313210604209,0.285512020355097,234,94,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
SaaS,CHEAP,NONE,-0.13281130224918,-0.144993718526378,0.212106666218633,374,150,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
SaaS,NORMAL,NONE,-0.002919112640918,-0.0244103560290373,0.212106666218633,412,165,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
SaaS,RICH,HARVEST_SELLABLE,0.0792953639694529,0.0725638447877171,0.212106666218633,289,116,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Space,CHEAP,NONE,-0.126269119060499,-0.103680700603781,0.290132198023226,194,78,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Space,NORMAL,NONE,-0.00163805194102457,0.0360814854017083,0.290132198023226,341,136,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Space,RICH,HARVEST_SELLABLE,0.163863078962727,0.150530226051862,0.290132198023226,222,89,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Cloud/Hyperscaler,RICH,HARVEST_SELLABLE,0.110543111674305,0.0984866138600903,0.158808110786918,48,19,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Cloud/Hyperscaler,NORMAL,NONE,0.0487732601387453,-0.00121767113551783,0.158808110786918,90,36,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Cloud/Hyperscaler,CHEAP,NONE,-0.0482649991126128,-0.0730865912499195,0.158808110786918,54,22,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Banks,NORMAL,NONE,0.00776268314614646,0.0305016348565054,0.090319593613581,382,153,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Banks,CHEAP,NONE,-0.030192486613549,-0.0241874143539881,0.090319593613581,251,100,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Banks,RICH,HARVEST_SELLABLE,0.060127107000032,0.0853578757226415,0.090319593613581,176,70,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
