sector,deviation_class,verdict,mean_realized_vrp,mean_holdout,rich_cheap_spread,n,n_holdout,survives_walkforward,survives_window_gate,confidence,as_of,inserted_at
DC-REIT/Colo,CHEAP,HARVEST_SELLABLE,0.343475190295834,0.115958779784295,-0.101225504559318,36,14,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
Power/Electrical,NORMAL,NONE,0.00952852492905786,0.0142457750384544,-0.0998170303640643,138,55,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Power/Electrical,CHEAP,NONE,0.00416189237128079,0.0435677486878521,-0.0998170303640643,112,45,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Power/Electrical,RICH,NONE,-0.0956551379927836,-0.0379500323647173,-0.0998170303640643,52,21,f,t,,2026-09-24,2026-09-24 14:12:56.865823+08
Healthcare,NORMAL,NONE,0.00824535635841859,0.0252237022989487,0.00217728015426695,739,296,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Healthcare,RICH,NONE,-0.000396284590578471,0.0404607760365368,0.00217728015426695,441,176,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Healthcare,CHEAP,NONE,-0.00257356474484542,0.012836404378003,0.00217728015426695,404,162,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Fintech,NORMAL,NONE,0.00749385612455208,-0.0202700521970223,-0.0107707731362039,238,95,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Fintech,RICH,NONE,-0.0204020093975892,-0.0044705686230199,-0.0107707731362039,142,57,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Fintech,CHEAP,NONE,-0.00963123626138532,-0.051635152868653,-0.0107707731362039,131,52,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Foundry,RICH,NONE,0.0265883406119384,0.053009002661322,0.0523251675701888,232,93,t,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Foundry,CHEAP,NONE,-0.0257368269582504,0.0100603694822748,0.0523251675701888,233,93,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Foundry,NORMAL,NONE,-0.0122986860398327,0.00411438284000219,0.0523251675701888,507,203,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Quantum,NORMAL,NONE,0.0134722712772542,0.0264177207343573,-0.142226436779143,108,43,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Quantum,RICH,NONE,-0.0389337161399345,-0.00556330364596864,-0.142226436779143,82,33,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Quantum,CHEAP,HARVEST_SELLABLE,0.103292720639208,0.12119419488449,-0.142226436779143,115,46,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
Semi-Logic/ASIC,NORMAL,NONE,0.038283944551335,0.0190671103398121,0.0246906472893139,82,33,t,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Semi-Logic/ASIC,RICH,NONE,0.0325840225794689,0.027195987266741,0.0246906472893139,32,13,t,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Semi-Logic/ASIC,CHEAP,NONE,0.00789337529015496,0.0780005666178678,0.0246906472893139,37,15,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Data-Platform,CHEAP,NONE,0.0357842359762325,-0.00264055955622855,-0.046026911889296,35,14,f,t,,2026-09-24,2026-09-24 14:12:56.865823+08
Data-Platform,NORMAL,NONE,-0.0194773525237388,0.0345004151278757,-0.046026911889296,77,31,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Data-Platform,RICH,NONE,-0.0102426759130635,0.12269336786258,-0.046026911889296,56,22,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
EPC/Construction,RICH,HARVEST_SELLABLE,0.095852733049534,0.0261392869358468,0.0219254022319031,33,13,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
EPC/Construction,NORMAL,HARVEST_SELLABLE,0.0727152605697912,0.0988071213423985,0.0219254022319031,109,44,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
EPC/Construction,CHEAP,HARVEST_SELLABLE,0.0739273308176308,0.0874378448878009,0.0219254022319031,40,16,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
Memory,CHEAP,NONE,-0.0381718332582555,-0.0487957723389594,0.000572001391098462,176,70,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Memory,NORMAL,NONE,-0.039061256054154,-0.0472109197181345,0.000572001391098462,264,106,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Memory,RICH,NONE,-0.0375998318671571,-0.0727654291530975,0.000572001391098462,134,54,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Analog/Power-Semi,RICH,NONE,-0.0180986478842643,0.00269607803161704,0.0113577391452502,58,23,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Analog/Power-Semi,CHEAP,NONE,-0.0294563870295145,-0.0521454057087875,0.0113577391452502,85,34,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Analog/Power-Semi,NORMAL,NONE,-0.0354434621195219,-0.0716951978033174,0.0113577391452502,164,66,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Cybersecurity,CHEAP,NONE,0.0437686945039414,0.0527839341048865,0.00839946503213372,41,16,t,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Cybersecurity,NORMAL,NONE,0.0256016770203373,0.0484142049163313,0.00839946503213372,87,35,t,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Cybersecurity,RICH,HARVEST_SELLABLE,0.0521681595360752,0.136577456674645,0.00839946503213372,57,23,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
Memory/Storage,RICH,NONE,-0.0524305312459189,-0.00929525861244549,-0.122338929462547,34,14,f,t,,2026-09-24,2026-09-24 14:12:56.865823+08
Memory/Storage,NORMAL,NONE,0.0816470686562501,0.110330234119266,-0.122338929462547,76,30,t,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Memory/Storage,CHEAP,HARVEST_SELLABLE,0.0699083982166277,0.124558682616152,-0.122338929462547,42,17,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
Healthcare-AI/LS-Tools,NORMAL,NONE,0.058607534525118,0.000599010388542079,0.0376474460438989,65,26,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Healthcare-AI/LS-Tools,RICH,NONE,0.027787483967191,-0.0969518285246648,0.0376474460438989,33,13,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
Healthcare-AI/LS-Tools,CHEAP,NONE,-0.00985996207670793,-0.279927916350717,0.0376474460438989,53,21,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
