strategy,leg,horizon_days,trades,mean_return,median_return,hit_rate,sharpe_overlap_naive,max_drawdown_overlap_naive
momentum_continuation_2w,long,5,247,0.028195613440996532,0.023636850027101742,0.6680161943319838,2.461078665287785,-0.5642915504121856
momentum_continuation_2w,short,5,247,-0.015553097466873325,-0.009269674026113495,0.41700404858299595,-1.584273640602427,-0.993709885396595
momentum_continuation_2w,long_short,5,247,0.006321257987061601,0.007972338961582602,0.5748987854251012,1.0846091046108766,-0.4369179656596245
momentum_continuation_2w,long,10,242,0.06078729946068073,0.04982194306694704,0.7107438016528925,2.6719483290387736,-0.74920745604048
momentum_continuation_2w,short,10,242,-0.026271939568990797,-0.01913024317956381,0.3925619834710744,-1.1963867012437646,-0.9999469881519943
momentum_continuation_2w,long_short,10,242,0.017257679945844963,0.021007151419518748,0.6157024793388429,1.3354803753973572,-0.8375052380781598
momentum_continuation_2w,long,15,237,0.09079064446359411,0.073287060675241,0.6877637130801688,2.48605357503956,-0.7586662049558845
momentum_continuation_2w,short,15,237,-0.045960156034761286,-0.02805741281305545,0.4092827004219409,-1.2733448920272206,-0.9999999312762832
momentum_continuation_2w,long_short,15,237,0.022415244214416423,0.02389182403941781,0.6075949367088608,1.0340707940815208,-0.936747438517294
trend_exhaustion_fade_1w,long,5,247,0.04007521646902234,0.03327339194721599,0.6639676113360324,3.0368198094020955,-0.6837881497014662
trend_exhaustion_fade_1w,short,5,247,-0.013559301322280141,-0.01347598774617922,0.4291497975708502,-1.1807448814080885,-0.9914017337174559
trend_exhaustion_fade_1w,long_short,5,247,0.013257957573371101,0.010540144524431555,0.6153846153846154,1.9002168200362826,-0.6629519093933642
trend_exhaustion_fade_1w,long,10,242,0.07574778626586588,0.05716035916278909,0.7024793388429752,2.8287345329150253,-0.7488296832091748
trend_exhaustion_fade_1w,short,10,242,-0.0370851243717134,-0.017688054656365103,0.4132231404958678,-1.5703710552950019,-0.9999948646784809
