ticker,sector,setup_type,setup_direction,setup_score,ret_1d,ret_1w,ret_30d,iv_rank,spot,updated_at,section,bias,direction,scanner_score,scored_at,alpha_composite,alpha_direction,alignment_count,liquidity_rank,option_iv_bonus,option_leverage_score,top_factor_signals_json
LITE,DC-Connect,,,,-0.0077,-0.0777,-0.2275,65.75,795.0,2026-07-02 04:02:46.164719+08:00,watchlist,bullish,long,7.5,2026-07-02 04:02:46.150994+08:00,-0.34188215014413326,short,0.0,0.7745098039215687,0.725,34.45429952969717,"{""accumulation_pressure_6"": 0.8431372549019607, ""dollar_volume_rank"": -0.5490196078431373, ""gap_fade"": -0.6862745098039216, ""gap_follow"": -0.5686274509803921, ""mom_10"": -0.607843137254902, ""open_vs_vwap_snapback"": -0.588235294117647, ""pv_corr_fade_6"": 0.7058823529411764, ""slope_12"": -0.5098039215686274, ""slope_6"": -0.5490196078431373, ""slope_acceleration"": -0.17647058823529416}"
MRVL,DC-Connect,C,bull,1.9636,-0.0057,-0.0382,-0.0697,73.93,270.51,2026-07-02 04:04:04.216894+08:00,watchlist,bullish,long,6.466,2026-07-02 04:04:04.202648+08:00,-0.2811595770206607,short,0.0,0.9215686274509803,0.841857142857143,33.83484210012972,"{""accumulation_pressure_6"": 0.4901960784313726, ""dollar_volume_rank"": -0.8431372549019607, ""gap_fade"": -0.7450980392156863, ""gap_follow"": -0.5098039215686274, ""mom_10"": -0.07843137254901966, ""open_vs_vwap_snapback"": 0.37254901960784315, ""pv_corr_fade_6"": -0.47058823529411764, ""slope_12"": -0.37254901960784315, ""slope_6"": 0.11764705882352944, ""slope_acceleration"": -0.15686274509803932}"
WFC,Banks,C,bull,1.9186,-0.0006,0.0136,0.0812,43.3,85.89,2026-07-02 04:16:14.156920+08:00,,,,,,0.21777439048702588,long,1.0,0.2647058823529412,0.40428571428571425,33.06277960299937,"{""accumulation_pressure_6"": -0.607843137254902, ""dollar_volume_rank"": 0.47058823529411764, ""gap_fade"": 0.27450980392156865, ""gap_follow"": 0.3137254901960784, ""mom_10"": 0.2549019607843137, ""open_vs_vwap_snapback"": -0.5686274509803921, ""pv_corr_fade_6"": 0.5098039215686274, ""slope_12"": 0.37254901960784315, ""slope_6"": -0.0980392156862745, ""slope_acceleration"": 0.4117647058823529}"
NVDA,M7,C,bull,1.8724,0.0004,0.0098,-0.113,29.29,197.65,2026-07-02 04:10:45.825642+08:00,watchlist,bullish,long,7.5,2026-07-02 04:10:45.810643+08:00,-0.2883971160170429,short,0.0,0.9705882352941176,0.20414285714285713,32.41591072623502,"{""accumulation_pressure_6"": 0.392156862745098, ""dollar_volume_rank"": -0.9411764705882353, ""gap_fade"": -0.33333333333333326, ""gap_follow"": -0.37254901960784315, ""mom_10"": -0.33333333333333337, ""open_vs_vwap_snapback"": -0.05882352941176472, ""pv_corr_fade_6"": 0.0980392156862746, ""slope_12"": -0.3529411764705882, ""slope_6"": -0.019607843137254943, ""slope_acceleration"": -0.33333333333333326}"
JNJ,Healthcare,,,,-0.0048,0.0321,0.134,84.54,252.75,2026-07-02 04:17:47.783339+08:00,watchlist,neutral,,7.144,2026-07-02 04:17:47.771954+08:00,0.3120173958263779,long,0.0,0.4411764705882353,0.9934285714285715,31.592814346501918,"{""accumulation_pressure_6"": 0.8823529411764706, ""dollar_volume_rank"": 0.11764705882352944, ""gap_fade"": 0.019607843137254943, ""gap_follow"": 0.03921568627450989, ""mom_10"": 0.7450980392156863, ""open_vs_vwap_snapback"": 0.07843137254901966, ""pv_corr_fade_6"": -0.27450980392156865, ""slope_12"": 0.8627450980392157, ""slope_6"": 0.41176470588235303, ""slope_acceleration"": 0.37254901960784315}"
WMT,Consumer,,,,-0.0002,-0.0603,-0.0377,34.4,108.8,2026-07-02 04:17:38.725482+08:00,,,,,,-0.38928154251467184,short,0.0,0.6274509803921569,0.27714285714285714,31.49553430655924,"{""accumulation_pressure_6"": -0.9215686274509804, ""dollar_volume_rank"": -0.2549019607843137, ""gap_fade"": -0.41176470588235303, ""gap_follow"": -0.7058823529411764, ""mom_10"": -0.6862745098039216, ""open_vs_vwap_snapback"": -0.7843137254901962, ""pv_corr_fade_6"": -0.13725490196078427, ""slope_12"": -0.3137254901960784, ""slope_6"": -0.7647058823529411, ""slope_acceleration"": 0.2549019607843137}"
AAOI,DC-Connect,,,,-0.0121,-0.0088,-0.3214,50.01,137.32,2026-07-02 03:31:28.452353+08:00,watchlist,bullish,long,6.855,2026-06-30 21:31:25.103313+08:00,-0.33809124956028197,short,0.0,0.47058823529411764,0.5001428571428571,31.447400074261754,"{""accumulation_pressure_6"": 0.33333333333333326, ""dollar_volume_rank"": 0.05882352941176472, ""gap_fade"": -0.43137254901960786, ""gap_follow"": -0.27450980392156865, ""mom_10"": -0.8627450980392157, ""open_vs_vwap_snapback"": 0.27450980392156865, ""pv_corr_fade_6"": 0.607843137254902, ""slope_12"": -0.9019607843137255, ""slope_6"": -0.05882352941176472, ""slope_acceleration"": -0.8235294117647058}"
SNDK,Memory,,,,-0.0139,-0.1418,0.1676,86.46,2004.0,2026-07-02 04:11:57.745263+08:00,watchlist,bearish,short,6.575,2026-07-02 04:11:57.703382+08:00,-0.10364555668481568,short,1.0,0.9607843137254902,1.0,31.34661053656455,"{""accumulation_pressure_6"": 0.2941176470588236, ""dollar_volume_rank"": -0.9215686274509804, ""gap_fade"": -0.9215686274509804, ""gap_follow"": -0.8431372549019608, ""mom_10"": 0.37254901960784315, ""open_vs_vwap_snapback"": -0.6274509803921569, ""pv_corr_fade_6"": -0.6274509803921569, ""slope_12"": 0.5686274509803921, ""slope_6"": 0.27450980392156854, ""slope_acceleration"": 0.9215686274509804}"
MU,Memory,C,bear,1.4356,-0.0127,-0.1602,-0.0422,84.92,1019.17,2026-07-02 04:10:31.755589+08:00,watchlist,bullish,long,7.5,2026-07-01 16:20:07.172181+08:00,-0.06261528515101807,short,1.0,1.0,0.9988571428571429,31.281898531999836,"{""accumulation_pressure_6"": -0.13725490196078427, ""dollar_volume_rank"": -1.0, ""gap_fade"": -0.8627450980392157, ""gap_follow"": -0.7843137254901961, ""mom_10"": 0.27450980392156854, ""open_vs_vwap_snapback"": -0.8627450980392157, ""pv_corr_fade_6"": 0.9607843137254901, ""slope_12"": 0.607843137254902, ""slope_6"": -0.5098039215686274, ""slope_acceleration"": 0.8627450980392157}"
HD,Consumer,,,,-0.0007,0.0162,0.1254,48.52,350.58,2026-07-02 04:31:31.929183+08:00,,,,,,0.3860653352935746,long,0.0,0.35294117647058826,0.4788571428571429,30.704707924331736,"{""accumulation_pressure_6"": 0.803921568627451, ""dollar_volume_rank"": 0.2941176470588235, ""gap_fade"": 0.43137254901960786, ""gap_follow"": 0.392156862745098, ""mom_10"": 0.5098039215686274, ""open_vs_vwap_snapback"": 0.2941176470588235, ""pv_corr_fade_6"": -0.8235294117647058, ""slope_12"": 0.7843137254901962, ""slope_6"": 0.2549019607843137, ""slope_acceleration"": 0.6470588235294117}"
HOOD,Fintech,,,,0.0023,0.1651,0.2353,49.59,108.9,2026-07-02 04:14:45.915060+08:00,watchlist,bearish,short,6.41,2026-06-30 02:25:16.535004+08:00,0.3151437238371465,long,0.0,0.6666666666666666,0.4941428571428572,30.574965430505017,"{""accumulation_pressure_6"": 0.15686274509803932, ""dollar_volume_rank"": -0.33333333333333326, ""gap_fade"": 0.4509803921568627, ""gap_follow"": 0.43137254901960786, ""mom_10"": 0.8823529411764706, ""open_vs_vwap_snapback"": 0.13725490196078427, ""pv_corr_fade_6"": -0.8627450980392157, ""slope_12"": 0.392156862745098, ""slope_6"": 0.7058823529411764, ""slope_acceleration"": 0.607843137254902}"
GLW,DC-Connect,,,,0.0051,-0.0274,0.1066,95.94,221.76,2026-07-02 03:36:25.912533+08:00,watchlist,bearish,short,7.246,2026-07-02 03:36:25.897350+08:00,0.2715257507497626,long,0.0,0.696078431372549,1.0,30.11019470934613,"{""accumulation_pressure_6"": 0.5098039215686274, ""dollar_volume_rank"": -0.392156862745098, ""gap_fade"": -0.8431372549019607, ""gap_follow"": -0.8235294117647058, ""mom_10"": 0.9803921568627452, ""open_vs_vwap_snapback"": 0.47058823529411764, ""pv_corr_fade_6"": 0.5490196078431373, ""slope_12"": 1.0, ""slope_6"": 0.7254901960784315, ""slope_acceleration"": 0.7058823529411764}"
TSEM,Foundry,,,,0.0014,-0.0892,-0.1052,92.0,245.8,2026-07-02 04:08:03.567586+08:00,watchlist,bearish,short,6.471,2026-07-02 04:08:03.528984+08:00,-0.1483539616784434,short,1.0,0.058823529411764705,1.0,29.91439496454986,"{""accumulation_pressure_6"": 0.6470588235294117, ""dollar_volume_rank"": 0.8823529411764706, ""gap_fade"": -0.7647058823529411, ""gap_follow"": -0.6862745098039216, ""mom_10"": -0.6274509803921569, ""open_vs_vwap_snapback"": -0.7647058823529411, ""pv_corr_fade_6"": 0.4509803921568627, ""slope_12"": -0.6666666666666667, ""slope_6"": -0.8627450980392157, ""slope_acceleration"": 0.7450980392156863}"
AAPL,M7,C,bull,1.9698,0.0073,0.0777,-0.0592,65.17,296.53,2026-07-02 04:09:14.295285+08:00,watchlist,bearish,short,7.055,2026-07-02 04:09:14.249193+08:00,0.04717116440626651,long,1.0,0.9509803921568627,0.7167142857142857,29.405940612080112,"{""accumulation_pressure_6"": 0.21568627450980382, ""dollar_volume_rank"": -0.9019607843137254, ""gap_fade"": 0.7058823529411764, ""gap_follow"": 0.6274509803921569, ""mom_10"": 0.0, ""open_vs_vwap_snapback"": 0.5686274509803921, ""pv_corr_fade_6"": -0.3529411764705882, ""slope_12"": -0.0980392156862745, ""slope_6"": 0.21568627450980382, ""slope_acceleration"": -0.2941176470588236}"
SNOW,SaaS,,,,-0.0007,0.1495,-0.0005,46.36,261.01,2026-07-02 04:13:24.518981+08:00,,,,,,0.36207319153716605,long,0.0,0.3235294117647059,0.448,28.754770466425153,"{""accumulation_pressure_6"": 1.0, ""dollar_volume_rank"": 0.3529411764705882, ""gap_fade"": 0.7647058823529411, ""gap_follow"": 0.6862745098039216, ""mom_10"": 0.8235294117647058, ""open_vs_vwap_snapback"": 0.7647058823529411, ""pv_corr_fade_6"": -0.9607843137254902, ""slope_12"": 0.803921568627451, ""slope_6"": 0.803921568627451, ""slope_acceleration"": -0.5686274509803921}"
FN,DC-Connect,,,,0.002,-0.0344,-0.218,65.88,548.26,2026-07-02 03:35:09.159300+08:00,watchlist,bullish,long,6.383,2026-07-02 03:35:09.148845+08:00,-0.30606316793697363,short,0.0,0.14705882352941177,0.7268571428571428,28.258644444663787,"{""accumulation_pressure_6"": -0.7647058823529411, ""dollar_volume_rank"": 0.7058823529411764, ""gap_fade"": -0.47058823529411775, ""gap_follow"": -0.33333333333333337, ""mom_10"": -0.4901960784313726, ""open_vs_vwap_snapback"": -0.17647058823529416, ""pv_corr_fade_6"": 0.3529411764705883, ""slope_12"": -0.6470588235294117, ""slope_6"": -0.47058823529411764, ""slope_acceleration"": -0.607843137254902}"
COST,Consumer,C,bull,1.3987,0.0012,-0.0175,-0.0298,41.67,925.79,2026-07-02 04:16:23.660728+08:00,watchlist,bearish,short,7.5,2026-07-02 04:16:23.649458+08:00,-0.08385238047240322,short,1.0,0.5098039215686274,0.381,27.790736240911365,"{""accumulation_pressure_6"": -0.7254901960784313, ""dollar_volume_rank"": -0.019607843137254832, ""gap_fade"": 0.5098039215686274, ""gap_follow"": 0.5490196078431373, ""mom_10"": -0.3921568627450981, ""open_vs_vwap_snapback"": -0.2941176470588236, ""pv_corr_fade_6"": -0.6862745098039216, ""slope_12"": -0.11764705882352944, ""slope_6"": -0.5294117647058824, ""slope_acceleration"": 0.019607843137254943}"
HUT,NeoCloud,,,,0.0105,-0.0916,-0.1964,49.02,106.9,2026-07-02 03:35:14.025446+08:00,watchlist,bullish,long,6.894,2026-07-02 03:35:13.984681+08:00,-0.3089268206090205,short,0.0,0.08823529411764706,0.48600000000000004,27.457053913219667,"{""accumulation_pressure_6"": 0.8235294117647058, ""dollar_volume_rank"": 0.8235294117647058, ""gap_fade"": -0.7058823529411764, ""gap_follow"": -0.803921568627451, ""mom_10"": -0.7647058823529411, ""open_vs_vwap_snapback"": -0.8431372549019607, ""pv_corr_fade_6"": -0.9411764705882353, ""slope_12"": -0.33333333333333337, ""slope_6"": -0.7843137254901961, ""slope_acceleration"": 0.4509803921568627}"
BAC,Banks,,,,-0.0002,0.0027,0.1119,29.15,58.35,2026-07-02 04:16:08.743678+08:00,watchlist,bearish,short,6.387,2026-06-29 23:29:02.715315+08:00,0.2921462201593286,long,0.0,0.43137254901960786,0.20214285714285712,26.60916958482247,"{""accumulation_pressure_6"": -0.5294117647058824, ""dollar_volume_rank"": 0.13725490196078427, ""gap_fade"": 0.3137254901960784, ""gap_follow"": 0.33333333333333326, ""mom_10"": 0.47058823529411775, ""open_vs_vwap_snapback"": -0.5294117647058822, ""pv_corr_fade_6"": 0.588235294117647, ""slope_12"": 0.5294117647058822, ""slope_6"": -0.1568627450980392, ""slope_acceleration"": 0.6666666666666667}"
SMH,Sector-ETF,C,bear,1.6035,0.0051,-0.0208,-0.0136,88.17,623.61,2026-07-02 04:06:36.865243+08:00,,,,,,-0.058161967305773825,short,1.0,0.803921568627451,1.0,26.496195554541423,"{""accumulation_pressure_6"": 0.11764705882352944, ""dollar_volume_rank"": -0.607843137254902, ""gap_fade"": -0.4901960784313726, ""gap_follow"": -0.6666666666666667, ""mom_10"": 0.17647058823529416, ""open_vs_vwap_snapback"": 0.1568627450980392, ""pv_corr_fade_6"": 0.43137254901960786, ""slope_12"": 0.11764705882352944, ""slope_6"": 0.13725490196078427, ""slope_acceleration"": 0.196078431372549}"
GOOGL,M7,C,bull,1.6357,-0.003,0.0478,-0.0047,63.88,360.14,2026-07-02 04:10:31.966160+08:00,,,,,,0.06429871512584415,long,1.0,0.8725490196078431,0.6982857142857143,26.110348013991164,"{""accumulation_pressure_6"": 0.5294117647058822, ""dollar_volume_rank"": -0.7450980392156863, ""gap_fade"": 0.33333333333333337, ""gap_follow"": 0.27450980392156854, ""mom_10"": -0.1568627450980392, ""open_vs_vwap_snapback"": 0.5098039215686274, ""pv_corr_fade_6"": 0.9803921568627452, ""slope_12"": -0.13725490196078427, ""slope_6"": 0.4509803921568627, ""slope_acceleration"": -0.43137254901960786}"
QQQ,Beta,C,bear,1.4059,0.0014,0.0137,-0.0268,63.42,726.19,2026-07-02 04:02:37.342762+08:00,,,,,,-0.06025950931746232,short,1.0,0.9803921568627451,0.6917142857142857,25.99583357939323,"{""accumulation_pressure_6"": -0.039215686274509776, ""dollar_volume_rank"": -0.9607843137254901, ""gap_fade"": -0.17647058823529416, ""gap_follow"": -0.1568627450980392, ""mom_10"": 0.05882352941176472, ""open_vs_vwap_snapback"": 0.23529411764705888, ""pv_corr_fade_6"": 0.392156862745098, ""slope_12"": 0.07843137254901955, ""slope_6"": 0.2941176470588236, ""slope_acceleration"": -0.07843137254901955}"
LRCX,Semi-Cap,,,,0.0053,-0.0211,0.1763,100.0,393.35,2026-07-02 04:03:57.986436+08:00,watchlist,bearish,short,7.5,2026-07-02 04:03:57.943226+08:00,0.19919498960121568,long,0.0,0.7843137254901961,1.0,25.615217899536077,"{""accumulation_pressure_6"": 0.6666666666666667, ""dollar_volume_rank"": -0.5686274509803921, ""gap_fade"": -0.8823529411764706, ""gap_follow"": -0.8627450980392157, ""mom_10"": 0.6666666666666667, ""open_vs_vwap_snapback"": 0.2549019607843137, ""pv_corr_fade_6"": 0.8627450980392157, ""slope_12"": 0.7450980392156863, ""slope_6"": 0.5686274509803921, ""slope_acceleration"": 0.7843137254901961}"
ISRG,Healthcare,,,,0.0012,0.0079,0.0014,80.23,402.86,2026-07-02 04:01:20.031137+08:00,watchlist,bullish,long,6.381,2026-07-02 04:01:20.018831+08:00,0.06817410835770095,long,1.0,0.20588235294117646,0.9318571428571429,24.719527921173523,"{""accumulation_pressure_6"": -0.9607843137254902, ""dollar_volume_rank"": 0.5882352941176471, ""gap_fade"": 0.6862745098039216, ""gap_follow"": 0.607843137254902, ""mom_10"": -0.17647058823529416, ""open_vs_vwap_snapback"": -0.196078431372549, ""pv_corr_fade_6"": -0.33333333333333337, ""slope_12"": -0.019607843137254943, ""slope_6"": -0.13725490196078427, ""slope_acceleration"": -0.0980392156862746}"
GS,Banks,,,,0.0,-0.0427,-0.0423,57.34,1019.57,2026-07-02 04:30:13.584228+08:00,watchlist,bearish,short,7.244,2026-06-29 22:06:17.076582+08:00,-0.046174600343807534,short,1.0,0.5294117647058824,0.6048571428571429,23.92070941902451,"{""accumulation_pressure_6"": -0.8823529411764706, ""dollar_volume_rank"": -0.05882352941176472, ""gap_fade"": 0.13725490196078427, ""gap_follow"": 0.17647058823529416, ""mom_10"": -0.43137254901960786, ""open_vs_vwap_snapback"": -0.6470588235294117, ""pv_corr_fade_6"": 0.8235294117647058, ""slope_12"": -0.43137254901960786, ""slope_6"": -0.7058823529411764, ""slope_acceleration"": 0.4901960784313726}"
AMZN,M7,C,bull,2.2229,0.006,0.0711,-0.0521,56.97,243.15,2026-07-02 04:09:20.035433+08:00,,,,,,0.01607999742499356,long,1.0,0.8823529411764706,0.5995714285714285,23.270000239917614,"{""accumulation_pressure_6"": 0.019607843137254832, ""dollar_volume_rank"": -0.7647058823529411, ""gap_fade"": 0.5294117647058824, ""gap_follow"": 0.47058823529411775, ""mom_10"": -0.019607843137254943, ""open_vs_vwap_snapback"": 0.33333333333333337, ""pv_corr_fade_6"": 0.05882352941176472, ""slope_12"": 0.0, ""slope_6"": 0.37254901960784315, ""slope_acceleration"": -0.4509803921568627}"
SOXL,Sector-ETF,,,,0.0063,-0.1334,-0.178,87.16,218.91,2026-07-02 04:03:57.988510+08:00,,,,,,-0.204673636255187,short,0.0,0.8921568627450981,1.0,22.787938851588578,"{""accumulation_pressure_6"": 0.07843137254901955, ""dollar_volume_rank"": -0.7843137254901962, ""gap_fade"": -0.9607843137254901, ""gap_follow"": -0.8823529411764706, ""mom_10"": -0.21568627450980393, ""open_vs_vwap_snapback"": 0.11764705882352944, ""pv_corr_fade_6"": 0.803921568627451, ""slope_12"": -0.5490196078431373, ""slope_6"": -0.21568627450980393, ""slope_acceleration"": 0.5490196078431373}"
CDNS,Semi-Cap,C,bear,3.5537,-0.0005,0.0253,-0.0933,94.73,377.55,2026-07-02 03:33:56.891129+08:00,watchlist,bearish,short,7.5,2026-07-02 03:33:56.882972+08:00,0.1181579867929128,long,0.0,0.18627450980392157,1.0,22.2829816245235,"{""accumulation_pressure_6"": -0.6274509803921569, ""dollar_volume_rank"": 0.6274509803921569, ""gap_fade"": 0.8823529411764706, ""gap_follow"": 0.7843137254901962, ""mom_10"": -0.13725490196078427, ""open_vs_vwap_snapback"": 0.4117647058823529, ""pv_corr_fade_6"": -0.9019607843137255, ""slope_12"": -0.17647058823529416, ""slope_6"": 0.0980392156862746, ""slope_acceleration"": -0.196078431372549}"
PFE,Healthcare,,,,0.0,0.0089,-0.0654,25.26,23.88,2026-07-02 04:30:08.238724+08:00,watchlist,bearish,short,6.525,2026-07-02 04:30:08.193012+08:00,-0.07096091780202604,short,1.0,0.22549019607843138,0.1465714285714286,21.943500940819696,"{""accumulation_pressure_6"": -0.5882352941176471, ""dollar_volume_rank"": 0.5490196078431373, ""gap_fade"": 0.3529411764705882, ""gap_follow"": 0.4509803921568627, ""mom_10"": -0.5686274509803921, ""open_vs_vwap_snapback"": -0.03921568627450989, ""pv_corr_fade_6"": -0.2549019607843137, ""slope_12"": -0.47058823529411764, ""slope_6"": -0.07843137254901966, ""slope_acceleration"": -0.21568627450980382}"
HYG,Credit,C,bear,2.401,0.0021,-0.0015,-0.0018,11.44,79.76,2026-07-02 03:36:25.409598+08:00,,,,,,-0.03628425656233736,short,1.0,0.5392156862745098,0.0,20.837476390736164,"{""accumulation_pressure_6"": -0.47058823529411764, ""dollar_volume_rank"": -0.07843137254901955, ""gap_fade"": -0.05882352941176472, ""gap_follow"": -0.0980392156862745, ""mom_10"": 0.11764705882352944, ""open_vs_vwap_snapback"": -0.23529411764705888, ""pv_corr_fade_6"": -0.17647058823529416, ""slope_12"": 0.21568627450980382, ""slope_6"": -0.17647058823529416, ""slope_acceleration"": 0.0980392156862745}"
SBUX,Consumer,,,,-0.0048,-0.0026,0.0773,53.9,102.89,2026-07-02 04:32:51.893557+08:00,,,,,,0.2535023373528828,long,0.0,0.1568627450980392,0.5557142857142857,20.752334483049136,"{""accumulation_pressure_6"": 0.4509803921568627, ""dollar_volume_rank"": 0.6862745098039216, ""gap_fade"": 0.2941176470588235, ""gap_follow"": 0.37254901960784315, ""mom_10"": 0.3529411764705883, ""open_vs_vwap_snapback"": -0.4901960784313726, ""pv_corr_fade_6"": -0.5686274509803921, ""slope_12"": 0.5098039215686274, ""slope_6"": -0.27450980392156865, ""slope_acceleration"": 0.5686274509803921}"
OXY,Energy,,,,-0.0004,-0.0642,-0.189,34.86,47.92,2026-07-02 04:19:18.248938+08:00,,,,,,-0.27238929860950045,short,0.0,0.06862745098039216,0.2837142857142857,20.545245300424135,"{""accumulation_pressure_6"": -0.9019607843137255, ""dollar_volume_rank"": 0.8627450980392157, ""gap_fade"": -0.0, ""gap_follow"": -0.039215686274509776, ""mom_10"": -0.7058823529411764, ""open_vs_vwap_snapback"": -0.7058823529411764, ""pv_corr_fade_6"": 0.37254901960784315, ""slope_12"": -0.6274509803921569, ""slope_6"": -0.7450980392156863, ""slope_acceleration"": -0.4901960784313726}"
RKLB,Space,C,bull,1.8099,-0.0027,0.2368,-0.1907,47.36,99.8,2026-07-02 04:16:20.413254+08:00,,,,,,-0.17676590217198834,short,0.0,0.6078431372549019,0.4622857142857143,19.97682169545655,"{""accumulation_pressure_6"": -0.0980392156862745, ""dollar_volume_rank"": -0.21568627450980382, ""gap_fade"": -0.03921568627450989, ""gap_follow"": -0.019607843137254943, ""mom_10"": -0.27450980392156865, ""open_vs_vwap_snapback"": 0.9215686274509804, ""pv_corr_fade_6"": -0.07843137254901966, ""slope_12"": -0.7450980392156863, ""slope_6"": 0.9607843137254901, ""slope_acceleration"": -0.9019607843137254}"
BLK,Banks,C,bull,1.5176,-0.0004,0.0083,-0.0383,59.82,979.98,2026-07-02 04:31:25.784248+08:00,watchlist,bullish,long,7.5,2026-07-02 04:31:25.772525+08:00,-0.14629447312194557,short,0.0,0.16666666666666666,0.6402857142857142,19.66148930901238,"{""accumulation_pressure_6"": -0.7843137254901961, ""dollar_volume_rank"": 0.6666666666666667, ""gap_fade"": 0.17647058823529416, ""gap_follow"": 0.15686274509803932, ""mom_10"": -0.47058823529411764, ""open_vs_vwap_snapback"": -0.43137254901960786, ""pv_corr_fade_6"": -0.43137254901960786, ""slope_12"": -0.607843137254902, ""slope_6"": -0.3137254901960784, ""slope_acceleration"": -0.0}"
MSTR,Crypto,,,,0.0327,0.1302,-0.2913,57.09,96.44,2026-07-02 04:30:08.258304+08:00,,,,,,-0.2014793248357842,short,0.0,0.5588235294117647,0.6012857142857143,19.302813242706574,"{""accumulation_pressure_6"": -0.5686274509803921, ""dollar_volume_rank"": -0.11764705882352944, ""gap_fade"": 0.607843137254902, ""gap_follow"": 0.6666666666666667, ""mom_10"": -0.9019607843137255, ""open_vs_vwap_snapback"": -0.21568627450980382, ""pv_corr_fade_6"": 0.7843137254901962, ""slope_12"": -0.9607843137254902, ""slope_6"": 0.17647058823529416, ""slope_acceleration"": -0.8823529411764706}"
CRDO,DC-Connect,,,,-0.0071,-0.0402,0.1234,67.93,257.26,2026-07-02 03:33:57.218412+08:00,,,,,,0.19025856189990728,long,0.0,0.5784313725490197,0.7561428571428572,19.234827624310036,"{""accumulation_pressure_6"": -0.5098039215686274, ""dollar_volume_rank"": -0.15686274509803932, ""gap_fade"": -0.6274509803921569, ""gap_follow"": -0.43137254901960786, ""mom_10"": 0.7647058823529411, ""open_vs_vwap_snapback"": 0.3137254901960784, ""pv_corr_fade_6"": 0.6666666666666667, ""slope_12"": 0.27450980392156854, ""slope_6"": -0.3529411764705882, ""slope_acceleration"": 0.9019607843137255}"
IGV,Sector-ETF,,,,-0.0005,0.1006,-0.1092,60.27,93.29,2026-07-02 03:37:37.404110+08:00,,,,,,0.19941001138774223,long,0.0,0.38235294117647056,0.6467142857142858,18.45732264588145,"{""accumulation_pressure_6"": -0.1568627450980392, ""dollar_volume_rank"": 0.23529411764705888, ""gap_fade"": 0.8431372549019608, ""gap_follow"": 0.9019607843137254, ""mom_10"": 0.41176470588235303, ""open_vs_vwap_snapback"": 0.6666666666666667, ""pv_corr_fade_6"": -0.7254901960784313, ""slope_12"": 0.196078431372549, ""slope_6"": 0.6274509803921569, ""slope_acceleration"": -0.6862745098039216}"
IWM,Beta,C,bear,3.1054,0.0005,0.0019,0.0268,18.85,299.47,2026-07-02 04:01:25.644382+08:00,,,,,,0.1136187695308787,long,0.0,0.8431372549019608,0.05500000000000002,17.047100141671315,"{""accumulation_pressure_6"": 0.7254901960784315, ""dollar_volume_rank"": -0.6862745098039216, ""gap_fade"": 0.0980392156862745, ""gap_follow"": 0.0980392156862746, ""mom_10"": 0.4509803921568627, ""open_vs_vwap_snapback"": -0.0, ""pv_corr_fade_6"": -0.7058823529411764, ""slope_12"": 0.4901960784313726, ""slope_6"": 0.0, ""slope_acceleration"": 0.43137254901960786}"
ASML,Semi-Cap,C,bear,1.4472,0.0084,0.0094,0.0898,100.0,1858.46,2026-07-02 03:33:51.243182+08:00,watchlist,neutral,,7.5,2026-07-02 03:33:51.231549+08:00,0.048468119918444304,long,0.0,0.7450980392156863,1.0,17.03905859036953,"{""accumulation_pressure_6"": 0.7647058823529411, ""dollar_volume_rank"": -0.4901960784313726, ""gap_fade"": -0.5490196078431373, ""gap_follow"": -0.6470588235294117, ""mom_10"": 0.43137254901960786, ""open_vs_vwap_snapback"": 0.5882352941176471, ""pv_corr_fade_6"": 0.07843137254901955, ""slope_12"": 0.3137254901960784, ""slope_6"": 0.5490196078431373, ""slope_acceleration"": 0.13725490196078427}"
IBM,SaaS,,,,0.0031,0.1118,-0.1278,80.21,287.15,2026-07-02 03:37:37.779311+08:00,watchlist,bearish,short,6.992,2026-07-02 03:37:37.766862+08:00,0.10387777316542805,long,0.0,0.5,0.9315714285714285,16.99372983586568,"{""accumulation_pressure_6"": 0.8627450980392157, ""dollar_volume_rank"": -0.0, ""gap_fade"": -0.07843137254901955, ""gap_follow"": -0.05882352941176472, ""mom_10"": 0.6470588235294117, ""open_vs_vwap_snapback"": 0.43137254901960786, ""pv_corr_fade_6"": -0.4117647058823529, ""slope_12"": 0.7254901960784315, ""slope_6"": 0.6470588235294117, ""slope_acceleration"": -0.6470588235294117}"
SLV,Macro,,,,0.0166,0.0403,-0.1989,25.89,54.47,2026-07-02 04:06:32.176308+08:00,,,,,,-0.20992400697815666,short,0.0,0.3137254901960784,0.15557142857142858,16.885593653737075,"{""accumulation_pressure_6"": -0.37254901960784315, ""dollar_volume_rank"": 0.37254901960784315, ""gap_fade"": 0.039215686274509776, ""gap_follow"": 0.07843137254901955, ""mom_10"": -0.8431372549019608, ""open_vs_vwap_snapback"": 0.019607843137254943, ""pv_corr_fade_6"": 0.7647058823529411, ""slope_12"": -0.803921568627451, ""slope_6"": 0.3137254901960784, ""slope_acceleration"": -0.7647058823529411}"
