ticker,sector,setup_type,setup_direction,setup_score,ret_1d,ret_1w,ret_30d,iv_rank,spot,updated_at,section,bias,direction,scanner_score,scored_at,alpha_composite,alpha_direction,alignment_count,liquidity_rank,option_iv_bonus,option_leverage_score,top_factor_signals_json
KO,Consumer,C,bull,1.7174,0.0028,0.0137,0.0397,68.44,81.52,2026-07-02 04:17:33.837156+08:00,watchlist,bullish,long,7.112,2026-07-02 04:17:33.825996+08:00,0.17993548677739918,long,2.0,0.3333333333333333,0.7634285714285713,47.44796502679888,"{""accumulation_pressure_6"": -0.17647058823529416, ""dollar_volume_rank"": 0.33333333333333337, ""gap_fade"": 0.4901960784313726, ""gap_follow"": 0.5294117647058822, ""mom_10"": 0.2941176470588236, ""open_vs_vwap_snapback"": -0.13725490196078427, ""pv_corr_fade_6"": -0.7647058823529411, ""slope_12"": 0.47058823529411775, ""slope_6"": 0.03921568627450989, ""slope_acceleration"": 0.1568627450980392}"
ALAB,DC-Connect,,,,0.0101,0.0935,0.2233,89.26,435.2,2026-07-02 03:30:10.190550+08:00,watchlist,bullish,long,7.5,2026-07-02 03:30:10.108347+08:00,0.359604767157998,long,1.0,0.49019607843137253,1.0,47.37331409321672,"{""accumulation_pressure_6"": 0.13725490196078427, ""dollar_volume_rank"": 0.019607843137254943, ""gap_fade"": -0.4509803921568627, ""gap_follow"": -0.5490196078431373, ""mom_10"": 0.9411764705882353, ""open_vs_vwap_snapback"": 0.9411764705882353, ""pv_corr_fade_6"": 0.019607843137254832, ""slope_12"": 0.9411764705882353, ""slope_6"": 0.8627450980392157, ""slope_acceleration"": 0.6862745098039216}"
JPM,Banks,C,bull,1.663,0.0031,-0.0001,0.1134,42.14,335.1,2026-07-02 04:19:23.131876+08:00,watchlist,bullish,long,7.5,2026-06-29 22:04:59.159355+08:00,0.17363066026585483,long,2.0,0.6568627450980392,0.38771428571428573,47.233817086957174,"{""accumulation_pressure_6"": -0.4901960784313726, ""dollar_volume_rank"": -0.3137254901960784, ""gap_fade"": 0.37254901960784315, ""gap_follow"": 0.4901960784313726, ""mom_10"": 0.21568627450980382, ""open_vs_vwap_snapback"": -0.4509803921568627, ""pv_corr_fade_6"": 0.11764705882352944, ""slope_12"": 0.41176470588235303, ""slope_6"": -0.33333333333333337, ""slope_acceleration"": 0.5882352941176471}"
LLY,Healthcare,C,bull,1.7958,0.0002,0.057,0.1201,41.57,1192.0,2026-07-02 04:17:43.122978+08:00,watchlist,bearish,short,7.5,2026-07-02 04:17:43.091920+08:00,0.32563969637900597,long,1.0,0.6764705882352942,0.37957142857142856,46.13911740199261,"{""accumulation_pressure_6"": 0.5686274509803921, ""dollar_volume_rank"": -0.3529411764705883, ""gap_fade"": 0.7254901960784313, ""gap_follow"": 0.7254901960784315, ""mom_10"": 0.6862745098039216, ""open_vs_vwap_snapback"": 0.4509803921568627, ""pv_corr_fade_6"": -0.8823529411764706, ""slope_12"": 0.8431372549019607, ""slope_6"": 0.588235294117647, ""slope_acceleration"": -0.019607843137254832}"
APP,SaaS,C,bull,2.0473,-0.0092,0.2545,-0.0763,34.51,559.44,2026-07-02 04:14:53.028509+08:00,,,,,,0.38403920009068343,long,1.0,0.5980392156862745,0.2787142857142857,46.058747227636346,"{""accumulation_pressure_6"": 0.9607843137254901, ""dollar_volume_rank"": -0.196078431372549, ""gap_fade"": 0.9411764705882353, ""gap_follow"": 0.9607843137254901, ""mom_10"": 0.803921568627451, ""open_vs_vwap_snapback"": 0.8627450980392157, ""pv_corr_fade_6"": 0.0, ""slope_12"": 0.588235294117647, ""slope_6"": 0.9215686274509804, ""slope_acceleration"": -0.8431372549019607}"
AMD,Semi-Logic,C,bull,1.7588,0.0058,0.0215,0.0431,92.56,544.0,2026-07-02 03:31:26.686898+08:00,watchlist,bullish,long,6.737,2026-07-01 21:31:28.377086+08:00,0.1072295550468175,long,2.0,0.9019607843137255,1.0,46.02257277484585,"{""accumulation_pressure_6"": 0.9215686274509804, ""dollar_volume_rank"": -0.803921568627451, ""gap_fade"": -0.6666666666666667, ""gap_follow"": -0.5882352941176471, ""mom_10"": 0.7058823529411764, ""open_vs_vwap_snapback"": 0.6470588235294117, ""pv_corr_fade_6"": -0.11764705882352944, ""slope_12"": 0.6274509803921569, ""slope_6"": 0.5294117647058822, ""slope_acceleration"": 0.33333333333333337}"
QCOM,Semi-Logic,C,bull,1.4405,-0.0013,-0.1133,-0.2456,74.29,181.69,2026-07-02 04:05:21.180499+08:00,watchlist,bullish,long,7.332,2026-07-02 04:05:21.138313+08:00,-0.4532089170274325,short,0.0,0.7058823529411765,0.8470000000000001,44.46878595662615,"{""accumulation_pressure_6"": -0.8627450980392157, ""dollar_volume_rank"": -0.41176470588235303, ""gap_fade"": -0.15686274509803932, ""gap_follow"": -0.13725490196078427, ""mom_10"": -0.8235294117647058, ""open_vs_vwap_snapback"": -0.9215686274509804, ""pv_corr_fade_6"": 0.47058823529411775, ""slope_12"": -0.8235294117647058, ""slope_6"": -0.8823529411764706, ""slope_acceleration"": -0.37254901960784315}"
NET,SaaS,C,bull,1.5535,0.0,0.0867,-0.0966,51.71,246.31,2026-07-02 04:13:29.255727+08:00,,,,,,0.37402909399270523,long,1.0,0.13725490196078433,0.5244285714285715,43.29627537500757,"{""accumulation_pressure_6"": 0.9411764705882353, ""dollar_volume_rank"": 0.7254901960784313, ""gap_fade"": 0.8235294117647058, ""gap_follow"": 0.803921568627451, ""mom_10"": 0.7254901960784315, ""open_vs_vwap_snapback"": 0.7450980392156863, ""pv_corr_fade_6"": -0.7450980392156863, ""slope_12"": 0.7058823529411764, ""slope_6"": 0.6666666666666667, ""slope_acceleration"": -0.7254901960784315}"
TSLA,M7,C,bull,1.9717,-0.0059,0.127,-0.0023,26.11,422.77,2026-07-02 03:31:23.172264+08:00,watchlist,bullish,long,7.016,2026-07-01 21:31:23.298372+08:00,0.07425967715879163,long,2.0,0.9313725490196079,0.1587142857142857,40.9554472890706,"{""accumulation_pressure_6"": 0.6274509803921569, ""dollar_volume_rank"": -0.8627450980392157, ""gap_fade"": 0.2549019607843137, ""gap_follow"": 0.2941176470588236, ""mom_10"": 0.6274509803921569, ""open_vs_vwap_snapback"": 0.7843137254901961, ""pv_corr_fade_6"": -0.5490196078431373, ""slope_12"": 0.43137254901960786, ""slope_6"": 0.7843137254901962, ""slope_acceleration"": -0.7058823529411764}"
AMAT,Semi-Cap,C,bull,1.4009,0.0097,-0.0162,0.3411,97.62,657.2,2026-07-02 03:31:21.776616+08:00,watchlist,bearish,short,7.5,2026-07-02 03:31:21.760971+08:00,0.20671298239554806,long,1.0,0.8235294117647058,1.0,40.43890582651189,"{""accumulation_pressure_6"": -0.05882352941176472, ""dollar_volume_rank"": -0.6470588235294117, ""gap_fade"": -0.9019607843137254, ""gap_follow"": -0.9019607843137255, ""mom_10"": 0.9215686274509804, ""open_vs_vwap_snapback"": 0.039215686274509776, ""pv_corr_fade_6"": 0.6274509803921569, ""slope_12"": 0.9607843137254901, ""slope_6"": 0.7450980392156863, ""slope_acceleration"": 0.9411764705882353}"
