config,rebal_date,n_long,n_short,one_way_turnover,longs,shorts,period_ret_net
momentum_5d,1997-04-21,53,53,0.6981132075471699,"ABT,ACGL,AIG,ALL,APD,BBY,CAT,CL,COR,CVS,DGX,DHI,DHR,DIS,EFX,ES,EXPD,F,FAST,FCX","ADSK,AMAT,ASML,BIIB,BSX,CAH,CCL,CDNS,CHD,CI,CIEN,CMCSA,CPRT,CSCO,DECK,EL,FICO,FITB,GEN,GILD",-0.008823893280157091
momentum_5d,1997-04-28,53,53,0.5660377358490567,"ABT,ACGL,APA,AXP,BAX,BMY,CAT,CL,CLX,CMI,DECK,DGX,DHR,DIS,DVA,EMR,ERIE,EXPD,GE,GL","AAPL,AJG,ALB,ATO,AVB,AVY,BBY,BIIB,BSX,CAH,CDNS,CIEN,CPRT,DHI,DLTR,ES,FDS,FICO,GEN,GILD",-0.032605652801416474
momentum_5d,1997-05-05,53,53,0.6886792452830189,"ADBE,ADSK,AES,AFL,AIG,AMAT,AXP,BEN,BIIB,BSX,CAT,CDNS,CIEN,CMCSA,CMI,CSCO,DLTR,DVN,EA,GE","AAPL,ADM,AJG,ALB,ATO,AVB,AVY,CAH,CB,CCEP,CHD,CMS,COR,CPRT,CPT,DHI,DOC,DOV,EME,EQR",-0.024396182657219434
momentum_5d,1997-05-12,53,53,0.5094339622641509,"ADBE,ADSK,ALL,AMAT,BEN,BIIB,BSX,CDNS,CI,CIEN,COP,CPRT,CSCO,CTAS,DGX,DLTR,DVN,EA,EG,EOG","ACGL,ADM,AJG,AOS,APH,ASML,ATO,AZO,BALL,CHD,CLX,COR,CVS,DECK,DHI,DOC,DTE,EME,EQR,EQT",-0.021613839511497313
momentum_5d,1997-05-19,53,53,0.679245283018868,"ABT,ADM,ALL,AMAT,AMGN,APA,APH,BMY,BRO,CI,CIEN,COP,COST,CPT,CSCO,CTAS,DE,DRI,EG,EOG","ADBE,ADSK,AON,AOS,ASML,AZO,BAC,CCEP,CL,CLX,CMCSA,COF,COR,CVS,DGX,DHI,DLTR,DTE,DVA,FDS",-0.014124863106487195
momentum_5d,1997-05-27,53,53,0.5660377358490567,"ADBE,ADM,AES,AFL,AMAT,AMGN,APH,BAX,BEN,BMY,BRO,CIEN,CINF,CSCO,CTAS,DRI,EA,EQR,ES,EXPD","AON,APA,AVB,AVY,BAC,CCEP,CCL,CDNS,CL,CLX,COF,COR,CVX,D,DECK,DHI,DTE,DVA,EMR,FCX",-0.023055104540118943
momentum_5d,1997-06-03,52,52,0.7169811320754718,"AES,AFL,AIG,ASML,BEN,BSX,CAH,CCEP,CIEN,CL,CMCSA,CPRT,CSCO,DLTR,DRI,DVA,EME,F,FICO,GEN","AAPL,ABT,ACGL,ADBE,AEP,AMAT,AMGN,AVY,BBY,CCL,CDNS,D,DE,DOC,ERIE,ES,EXC,EXPD,FCX,FRT",0.0003640576467529577
momentum_5d,1997-06-10,52,52,0.47115384615384615,"AIG,ALL,ATO,BAC,BIIB,BRO,BSX,CAH,CAT,CIEN,CL,CMCSA,COR,CVX,DHI,DRI,DVA,EMR,FDX,FICO","ACGL,ADBE,ADSK,AMAT,APA,ASML,AVY,AZO,BBY,CDNS,CSCO,DVN,EFX,EQR,EQT,ERIE,ESS,EXPD,FCX,GIS",-0.01479115813644738
momentum_5d,1997-06-17,53,53,0.6037735849056605,"APH,AXP,BAC,BEN,BIIB,BSX,CAT,CCL,CMCSA,CMI,COR,CVX,DE,EA,EFX,ETN,FDS,FISV,GE,GLW","AAPL,ADSK,AES,AFL,AMGN,APA,AZO,BALL,BBY,CHD,CPRT,DECK,DHI,DLTR,DVA,DVN,EOG,EQR,EQT,ES",-0.005759973442146182
momentum_5d,1997-06-24,54,54,0.537037037037037,"ACGL,ADSK,AJG,AMAT,APD,ASML,AXP,BAC,BBY,BDX,BEN,BMY,BSX,CB,CCEP,CCL,CDNS,CMI,COF,CSCO","AAPL,ADBE,AES,AMGN,AMZN,AOS,ATO,AVB,BALL,BIIB,CAH,CHD,CMCSA,COST,DECK,DGX,DHI,DLTR,DRI,DTE",-0.011311606412439779
