ticker,category_token,kind,extreme_date,entry,period,horizon,mom_bucket,trend_agree,depth_favorable,gamma_regime,signed_ret,signed_baseline,edge,state_edge,correct
NVDA,divergence,top,2021-08-30,confirmation,H1,1,2,,False,,-0.024612579762989917,-0.0023746156372793994,-0.022237964125710517,-0.026960293106452718,0
NVDA,divergence,top,2021-08-30,confirmation,H1,3,2,,False,,0.012762078395624488,-0.007118716589830973,0.01988079498545546,0.009716960513090686,1
NVDA,divergence,top,2021-08-30,confirmation,H1,5,2,,False,,0.06472196900638105,-0.011694554906647864,0.07641652391302892,0.06203144771907051,1
NVDA,divergence,top,2021-08-30,confirmation,H1,10,2,,False,,0.05651777575205108,-0.023427760358850417,0.0799455361109015,0.0635761769763503,1
NVDA,divergence,top,2021-08-30,confirmation,H1,20,2,,False,,-0.007292616226071136,-0.04836289634672073,0.041070280120649595,0.04062781243750281,0
NVDA,divergence,top,2021-08-30,extreme,H1,1,3,,True,,0.013047694613417926,-0.0023746156372793994,0.015422310250697326,0.01903168411382204,1
NVDA,divergence,top,2021-08-30,extreme,H1,3,3,,True,,0.012606894119721379,-0.007118716589830973,0.019725610709552352,0.02175436513178964,1
NVDA,divergence,top,2021-08-30,extreme,H1,5,3,,True,,0.0011460812836110446,-0.011694554906647864,0.012840636190258908,0.014433961049226241,1
NVDA,divergence,top,2021-08-30,extreme,H1,10,3,,True,,0.019659702018866243,-0.023427760358850417,0.04308746237771666,0.041319991076644746,1
NVDA,divergence,top,2021-08-30,extreme,H1,20,3,,True,,0.08754297804813538,-0.04836289634672073,0.1359058743948561,0.123768012287921,1
NVDA,3B,3B,2021-12-20,confirmation,H1,1,0,,True,,-0.013666666666666605,0.0023746156372793994,-0.016041282303946004,-0.018550657083254082,0
NVDA,3B,3B,2021-12-20,confirmation,H1,3,0,,True,,0.0040000000000000036,0.007118716589830973,-0.0031187165898309693,-0.009035054287921923,1
NVDA,3B,3B,2021-12-20,confirmation,H1,5,0,,True,,-0.07999999999999996,0.011694554906647864,-0.09169455490664782,-0.09909433151101574,0
NVDA,3B,3B,2021-12-20,confirmation,H1,10,0,,True,,-0.06666666666666665,0.023427760358850417,-0.09009442702551707,-0.1023373204725431,0
