scope,horizon,std,mad,mean,n,cov_1.0,cov_1.0_nominal,cov_1.96,cov_1.96_nominal,pit_ks_stat,pit_ks_p,pit_ks_n_indep,k_ci_lo,k_ci_hi,ci_n_dates
pooled,5,1.1156967255715873,0.9129250721848519,0.13206639032858558,16147,0.7088003963584567,0.6826894921370859,0.9505790549328048,0.950004209703559,0.06944650027362687,5.4534581774037626e-14,3230,0.9216554209071324,1.3657409815942825,149
ticker:AAOI,5,0.9624551930618964,0.9781783750110394,0.27254785532326575,149,0.6845637583892618,0.6826894921370859,0.9395973154362416,0.950004209703559,0.20358368110687608,0.1443574837981918,30,0.7972683668365549,1.0917143459441245,149
ticker:AAPL,5,1.0947457766432878,1.052772588107847,0.1055366997843334,149,0.6174496644295302,0.6826894921370859,0.9328859060402684,0.950004209703559,0.21880915754674368,0.0966553578434537,30,0.8825727123502497,1.2365384281665852,149
ticker:ALAB,5,0.9913304758538101,0.8865699992234106,0.2551392401966803,149,0.6912751677852349,0.6826894921370859,0.9395973154362416,0.950004209703559,0.1517026462566342,0.45072752895046697,30,0.7867064555477599,1.1853489975465052,149
ticker:AMAT,5,0.9286938756747123,0.8305581360137655,0.3717528831084151,149,0.6711409395973155,0.6826894921370859,0.9530201342281879,0.950004209703559,0.2511762770458511,0.03731914579506501,30,0.7437096056739178,1.0446301500711952,149
ticker:AMD,5,1.0459253902267613,1.0798188803907425,0.386728168873759,149,0.6174496644295302,0.6826894921370859,0.9261744966442953,0.950004209703559,0.25951994602530115,0.02856483529260534,30,0.8778268417881503,1.1898012290604365,149
ticker:AMZN,5,1.0581579700196149,0.9713933440318026,0.14357678478323327,149,0.6442953020134228,0.6826894921370859,0.9261744966442953,0.950004209703559,0.1505509690885188,0.46027064531482076,30,0.8303840369227278,1.276880077684154,149
ticker:ANET,5,1.001918953572513,1.03899795854169,0.21480810568239397,149,0.6510067114093959,0.6826894921370859,0.9530201342281879,0.950004209703559,0.14419534809532453,0.5147030789005849,30,0.8584213434629215,1.1230553593655617,149
ticker:APP,5,1.1251052727138018,0.9274902540460025,-0.15092233289886642,149,0.6442953020134228,0.6826894921370859,0.9395973154362416,0.950004209703559,0.1648089566779618,0.35010104757161253,30,0.8819077443499134,1.3156323064773787,149
ticker:ARM,5,1.1266514668525247,1.2063324049128008,0.38939652135889163,149,0.6174496644295302,0.6826894921370859,0.8993288590604027,0.950004209703559,0.1705885690821614,0.31072471720407313,30,0.8949217255478243,1.3102714010466927,149
