entry_index,entry_date,entry_price,pivot_index,confirm_lag_bars,resistance,support,stretch,down,outcome,ticker,k_atr,null_hit
191,2026-04-08,145.07,185,5,139.62,116.13,154.13682,101.61317999999999,hit,ANET,2.0,0.78
224,2026-05-26,158.01,214,9,177.73,136.43,203.25339999999997,110.90660000000003,hit,ANET,2.0,0.3875
239,2026-06-16,168.01,235,3,175.33,151.76,189.89626000000004,137.19374,hit,ANET,2.0,0.6225
271,2026-08-03,184.89,268,2,186.96,157.97,204.87582,140.05418,hit,ANET,2.0,0.6925
38,2025-08-27,462.94,33,4,467.0,412.38,500.75516,378.62484,hit,APP,2.0,0.8925
80,2025-10-27,643.1,76,3,718.54,552.64,821.0662,450.11379999999997,stop,APP,2.0,0.7925
104,2025-12-01,623.59,99,4,651.32,520.26,732.3150800000001,439.26491999999996,hit,APP,2.0,0.77
120,2025-12-23,728.45,116,3,724.62,657.13,766.32882,615.42118,stop,APP,2.0,0.8025
152,2026-02-10,472.92,149,2,733.6,375.23,955.07266,153.75734000000003,stop,APP,2.0,0.05
164,2026-02-27,434.77,154,9,472.92,366.91,538.43418,301.39582,stop,APP,2.0,0.505
196,2026-04-15,464.63,185,10,517.23,372.08,606.9327000000001,282.3773,hit,APP,2.0,0.4175
249,2026-07-01,564.61,245,3,613.7,445.93,717.3818600000001,342.24814,stop,APP,2.0,0.495
40,2025-08-29,138.31,33,6,164.37,131.16,184.89378000000002,110.63622,stop,ARM,2.0,0.0925
48,2025-09-11,154.7,42,5,142.55,131.42,149.42834000000002,124.54165999999998,hit,ARM,2.0,0.97
64,2025-10-03,152.64,59,4,154.7,139.62,164.01943999999997,130.30056000000002,hit,ARM,2.0,0.525
71,2025-10-14,168.16,69,1,170.66,154.81,180.4553,145.0147,hit,ARM,2.0,0.655
140,2026-01-23,116.07,134,5,178.62,104.99,224.12334,59.486659999999986,stop,ARM,2.0,0.0025
151,2026-02-09,124.61,147,3,119.2,104.55,128.2537,95.49629999999999,hit,ARM,2.0,0.65
177,2026-03-18,128.36,169,7,131.74,114.38,142.46848000000003,103.65151999999999,hit,ARM,2.0,0.39
188,2026-04-02,149.11,185,2,157.07,136.96,169.49797999999998,124.53202000000002,hit,ARM,2.0,0.435
212,2026-05-07,213.31,205,6,234.81,198.65,257.15688,176.30312,hit,ARM,2.0,0.4125
222,2026-05-21,298.23,215,6,237.3,207.92,255.45684000000003,189.76315999999997,hit,ARM,2.0,1.0
238,2026-06-15,412.55,235,2,411.83,307.43,476.3492,242.91080000000002,stop,ARM,2.0,0.76
273,2026-08-05,274.58,268,4,439.46,224.89,572.06426,92.28574,neither,ARM,2.0,0.085
28,2025-08-13,755.57,22,5,823.02,689.63,905.45502,607.19498,hit,ASML,2.0,0.0675
45,2025-09-08,796.25,41,3,770.0,725.85,797.2846999999999,698.5653,hit,ASML,2.0,0.915
73,2025-10-16,1019.59,69,3,1043.3,936.19,1109.49398,869.9960200000002,hit,ASML,2.0,0.6725
103,2025-11-28,1060.0,99,3,1075.45,966.57,1142.73784,899.2821600000001,hit,ASML,2.0,0.7275
123,2025-12-29,1065.995,116,6,1140.92,1015.43,1218.4728200000002,937.8771799999998,hit,ASML,2.0,0.465
158,2026-02-19,1458.93,148,9,1455.16,1339.13,1526.86654,1267.4234600000002,hit,ASML,2.0,0.8525
192,2026-04-09,1448.64,185,6,1526.51,1253.96,1694.9459,1085.5241,hit,ASML,2.0,0.615
212,2026-05-07,1516.6,205,6,1518.3,1384.56,1600.95132,1301.90868,hit,ASML,2.0,0.74
223,2026-05-22,1632.9,220,2,1592.02,1459.44,1673.95444,1377.50556,hit,ASML,2.0,0.8425
55,2025-09-22,48.85,46,8,60.06,36.91,74.36670000000001,22.603299999999994,hit,ASTS,2.0,0.265
107,2025-12-04,72.65,98,8,95.69,50.7,123.49382,22.896180000000005,hit,ASTS,2.0,0.3525
119,2025-12-22,86.48,116,2,84.75,61.86,98.89602,47.71398,hit,ASTS,2.0,0.7575
128,2026-01-06,97.49,123,4,86.48,71.47,95.75618,62.193819999999995,hit,ASTS,2.0,0.93
168,2026-03-05,93.86,164,3,122.09,79.19,148.6022,52.67779999999999,stop,ASTS,2.0,0.35
189,2026-04-06,94.81,185,3,104.89,73.82,124.09126,54.61873999999999,stop,ASTS,2.0,0.545
215,2026-05-12,72.96,210,4,98.97,63.87,120.6618,42.1782,hit,ASTS,2.0,0.2625
248,2026-06-30,88.86,245,2,133.09,65.62,174.78646,23.923540000000003,stop,ASTS,2.0,0.2225
273,2026-08-05,68.38,268,4,88.86,53.03,111.00294,30.88706,neither,ASTS,2.0,0.3225
40,2025-08-29,297.39,34,5,312.83,289.6,327.18613999999997,275.24386000000004,stop,AVGO,2.0,0.5175
71,2025-10-14,344.13,69,1,369.57,324.63,397.34292,296.85708,hit,AVGO,2.0,0.58
101,2025-11-25,385.03,93,7,385.98,339.98,414.408,311.552,hit,AVGO,2.0,0.8025
134,2026-01-14,339.89,116,17,412.97,326.02,466.7051000000001,272.28489999999994,stop,AVGO,2.0,0.2075
152,2026-02-10,340.44,148,3,354.61,308.05,383.38408000000004,279.27592,stop,AVGO,2.0,0.59
171,2026-03-10,342.58,166,4,343.94,313.84,362.5418,295.23819999999995,stop,AVGO,2.0,0.68
191,2026-04-08,350.63,185,5,345.75,293.41,378.09612,261.06388000000004,hit,AVGO,2.0,0.6975
255,2026-07-10,399.97,250,4,481.57,360.45,556.42216,285.59784,stop,AVGO,2.0,0.19
28,2025-08-13,47.24,24,3,48.45,44.92,50.63154,42.73846,hit,BAC,2.0,0.235
73,2025-10-16,50.44,69,3,52.42,48.65,54.749860000000005,46.320139999999995,hit,BAC,2.0,0.4225
