date,net_gex,spot,flip,close,high,low,ret,fwd_ret,fwd_range,fwd_reversal,regime,flip_gap,flip_migration
2026-06-15,8749904.17,85.84,86.0,85.72,86.11,85.67,,0.00548296780214641,0.005307979468035445,,long,-0.0018639328984156173,
2026-06-16,8391060.54,86.26,86.0,86.19,86.38,85.925,0.00548296780214641,0.0016243183663997574,0.007657500870170514,0,long,0.0030141432877348147,0.0
2026-06-17,12661251.35,86.3801,86.0,86.33,86.59,85.93,0.0016243183663997574,0.0048650527047375824,0.006081315880921945,0,long,0.004400319054967508,0.0
2026-06-18,21596661.25,86.9,86.0,86.75,87.175,86.65,0.0048650527047375824,-0.007608069164265041,0.004149855907780974,1,long,0.010356731875719283,0.0
2026-06-22,12251446.69,86.095,86.0,86.09,86.33,85.97,-0.007608069164265041,0.0012777326054129734,0.0037751190614473554,1,long,0.001103432255067064,0.0
2026-06-23,10772210.43,86.385,86.0,86.2,86.425,86.1,0.0012777326054129734,0.013689095127610074,0.004060324825986013,0,long,0.004456792267176073,0.0
2026-06-24,10977016.5,86.83,86.0,87.38,87.47,87.12,0.013689095127610074,-0.00034332799267566827,0.005722133211261159,1,long,0.009558908211447637,0.0
2026-06-25,19147177.47,87.495,86.0,87.35,87.79,87.29,-0.00034332799267566827,0.00011448196908991903,0.004234688036634245,1,long,0.017086690668038224,0.0
2026-06-26,20820536.7,87.27,86.0,87.36,87.37,87.0001,0.00011448196908991903,0.0010302197802198876,0.0027472527472528516,0,long,0.014552538100148917,0.0
2026-06-29,14471038.63,87.45,87.0,87.45,87.54,87.3,0.0010302197802198876,-0.011778158947970296,0.0091480846197827,1,long,0.00514579759862782,0.011435105774728416
2026-06-30,14449622.06,87.055,87.0,86.42,87.175,86.375,-0.011778158947970296,-0.010414255959268703,0.004223559361259073,0,long,0.0006317845040492426,0.0
2026-07-01,-4181316.85,85.71,87.0,85.52,85.79,85.425,-0.010414255959268703,-0.00011693171188020823,0.004794200187090699,0,short,-0.015050752537626956,0.0
2026-07-02,-5534878.67,85.675,87.0,85.51,85.78,85.37,-0.00011693171188020823,,,,short,-0.015465421651590346,0.0
