date,net_gex,spot,flip,close,high,low,ret,fwd_ret,fwd_range,fwd_reversal,regime,flip_gap,flip_migration
2026-05-18,-409231.46,736.26,740.0,738.65,741.415,733.39,,-0.006660800108305609,0.00828538550057538,,short,-0.005079727270257801,
2026-05-19,-1234474.3,733.02,740.0,733.73,737.65,731.53,-0.006660800108305609,0.010249001676365888,0.010875935289547951,1,short,-0.009522250416086899,0.0
2026-05-20,-242843.1,740.7102,735.0,741.25,741.87,733.89,0.010249001676365888,0.001983136593591839,0.010576728499156873,0,short,0.007709087845691859,-0.006745362563237774
2026-05-21,-253801.51,739.6,740.0,742.72,744.87,737.03,0.001983136593591839,0.003931495045239153,0.00600495476087898,0,short,-0.0005408328826392337,0.006732012063765618
2026-05-22,1370220.21,747.505,740.0,745.64,748.94,744.48,0.003931495045239153,0.0066385923501959265,0.005042647926613367,0,long,0.010040066621627942,0.0
2026-05-26,1031449.91,748.5199,750.0,750.59,752.13,748.37,0.0066385923501959265,-0.00017319708495977526,0.004210021449792787,1,long,-0.0019773689383542014,0.013322852689217814
2026-05-27,934038.06,749.22,750.0,750.46,751.38,748.22,-0.00017319708495977526,0.005516616475228497,0.007888495056365375,1,long,-0.00104108272603504,0.0
2026-05-28,545108.02,754.205,750.0,754.6,755.15,749.23,0.005516616475228497,0.002491386164855447,0.004492446329181005,0,long,0.005575407216870798,0.0
2026-05-29,1085760.57,756.65,755.0,756.48,758.08,754.69,0.002491386164855447,0.002723138747884768,0.0073894881556682505,0,long,0.002180664772351784,0.006609560067681895
2026-06-01,382234.47,756.73,760.0,758.54,760.28,754.69,0.002723138747884768,0.0013578717008992935,0.004811875444933659,0,long,-0.004321224214713282,0.006591610198539299
2026-06-02,424211.57,759.7,760.0,759.57,760.4,756.75,0.0013578717008992935,-0.007017128111958093,0.006885474676461556,1,long,-0.0003948927208107865,0.0
2026-06-03,-248259.65,755.265,760.0,754.24,758.8,753.57,-0.007017128111958093,0.0037786380992788082,0.009068731438268878,1,short,-0.006269322688063148,0.0
2026-06-04,-553280.63,755.13,760.0,757.09,758.31,751.47,0.0037786380992788082,-0.025809348954549782,0.022844047603323345,1,short,-0.006449220663991636,0.0
2026-06-05,-1433542.27,746.67,760.0,737.55,752.82,735.525,-0.025809348954549782,0.002264253270964689,0.009694258016405638,1,short,-0.017852598872326517,0.0
2026-06-08,-990263.54,742.91,750.0,739.22,745.34,738.19,0.002264253270964689,-0.002935526636184238,0.032886014988771875,1,short,-0.009543551708820762,-0.013527772516977354
2026-06-09,-562653.71,729.49,745.0,737.05,746.9,722.59,-0.002935526636184238,-0.015765551862153226,0.017705718743640127,0,short,-0.021261429217672607,-0.006783800284919613
2026-06-10,-1699888.94,731.84,745.0,725.43,738.38,725.33,-0.015765551862153226,0.016996815681733723,0.021497594530140784,1,short,-0.01798207258417136,0.0
2026-06-11,-1984906.08,728.3,745.0,737.76,740.0,724.405,0.016996815681733723,0.0054082628497071905,0.01275482541748005,0,short,-0.022930111217904774,0.0
2026-06-12,-473243.74,740.02,740.0,741.75,744.44,735.03,0.0054082628497071905,0.017633973710819095,0.0066329625884731505,0,short,2.7026296586554163e-05,-0.006740815638692282
2026-06-15,1400027.63,756.09,745.0,754.83,756.68,751.76,0.017633973710819095,-0.005961607249314382,0.007365896956930778,1,long,0.014667566030499056,0.006624008054793794
2026-06-16,1037646.98,753.295,750.0,750.33,755.44,749.88,-0.005961607249314382,-0.012487838684312247,0.017232417736196007,0,long,0.004374116382028235,0.006663734623432356
2026-06-17,559385.23,750.65,750.0,740.96,752.15,739.22,-0.012487838684312247,0.00780069099546532,0.005897754264737643,1,long,0.0008659162059548089,0.0
2026-06-18,111757.09,746.41,745.0,746.74,748.23,743.86,0.00780069099546532,-0.0031470123470016542,0.00944103704100484,1,long,0.0018890422154043598,-0.006695770951067306
2026-06-22,-492005.94,744.67,750.0,744.39,750.18,743.13,-0.0031470123470016542,-0.01452195757600172,0.009846988809629417,0,short,-0.007157532866907544,0.006716909147086877
2026-06-23,-2619458.21,735.57,750.0,733.58,739.63,732.3,-0.01452195757600172,-0.00046348046566158096,0.012411734234848303,0,short,-0.019617439536685766,0.0
2026-06-24,-2603157.29,736.72,750.0,733.24,739.945,730.84,-0.00046348046566158096,0.001445638535813476,0.01332442310839559,1,short,-0.01802584428276682,0.0
2026-06-25,-1123755.18,734.44,745.0,734.3,739.37,729.6,0.001445638535813476,-0.007231376821462576,0.027168732125834035,1,short,-0.014378301835411939,-0.0068092060465749695
2026-06-26,-2458013.18,735.39,745.0,728.99,736.53,716.58,-0.007231376821462576,0.016474848763357475,0.01299057600241418,1,short,-0.013067895946368613,0.0
2026-06-29,-1708076.32,737.99,745.0,741.0,741.56,732.09,0.016474848763357475,0.007786774628879778,0.009622132253711195,0,short,-0.009498773696120531,0.0
2026-06-30,-501194.54,745.72,745.0,746.77,748.02,740.89,0.007786774628879778,-0.00135249139628002,0.009454048770036217,1,short,0.0009655098428364899,0.0
2026-07-01,-193115.59,748.77,750.0,745.76,749.435,742.375,-0.00135249139628002,-0.0013140956876207532,0.015125509547307408,0,short,-0.0016426940181898558,0.006704569834799399
2026-07-02,1019338.98,744.22,750.0,744.78,751.31,740.03,-0.0013140956876207532,,,,long,-0.007766520652495193,0.0
