entry_date,spot,vix,rv,vrp_z,w,short_put,long_put,width,credit_pts,credit_usd,max_loss_usd,contracts,margin_usd,exit_date,exit_spot,breached,net_pnl_usd,ror
2007-10-24,1515.88,20.8,0.1294,1.8,1.0,1454.9,1406.0,48.8,9.862,6903.0,3898.0,7,27289.0,2007-12-06,1507.34,False,6552.0,0.24
2007-10-31,1549.38,18.53,0.1373,0.55,1.0,1494.1,1449.3,44.8,8.94,6258.0,3583.0,7,25083.0,2007-12-13,1488.41,True,1941.0,0.077
2007-11-07,1475.62,26.49,0.1923,1.47,1.0,1399.9,1340.3,59.6,12.363,6182.0,4722.0,5,23608.0,2007-12-20,1460.12,False,5871.0,0.249
2007-11-21,1416.77,26.84,0.2218,0.424,0.847,1343.1,1285.2,57.9,12.035,6018.0,4587.0,5,22933.0,2008-01-07,1416.18,False,5715.0,0.249
2007-12-28,1478.49,20.74,0.1729,0.092,0.184,1419.2,1371.7,47.5,9.59,959.0,3792.0,1,3792.0,2008-02-12,1348.86,True,-3841.0,-1.013
2008-01-07,1416.18,23.79,0.1767,0.986,1.0,1350.8,1299.1,51.7,10.6,6360.0,4115.0,6,24688.0,2008-02-20,1360.03,False,6037.0,0.245
2008-01-14,1416.25,22.9,0.1841,0.435,0.87,1353.4,1303.4,49.9,10.186,6111.0,3975.0,6,23853.0,2008-02-27,1380.02,False,5801.0,0.243
2008-01-22,1310.5,31.01,0.2083,2.29,1.0,1232.1,1170.9,61.2,12.968,6484.0,4819.0,5,24097.0,2008-03-05,1333.7,False,6159.0,0.256
2008-01-29,1362.3,27.32,0.2326,0.259,0.518,1290.2,1233.6,56.6,11.791,3537.0,4480.0,3,13441.0,2008-03-12,1308.77,False,3359.0,0.25
2008-02-20,1360.03,24.4,0.2056,0.187,0.373,1295.7,1244.8,50.9,10.453,2091.0,4043.0,2,8086.0,2008-04-03,1369.31,False,1985.0,0.245
2008-02-27,1380.02,22.69,0.1856,0.278,0.557,1319.3,1271.1,48.2,9.83,3932.0,3842.0,4,15366.0,2008-04-10,1360.55,False,3732.0,0.243
2008-03-05,1333.7,24.6,0.1588,1.733,1.0,1270.1,1219.8,50.3,10.338,7237.0,3994.0,7,27956.0,2008-04-17,1365.56,False,6870.0,0.246
2008-03-12,1308.77,27.22,0.2231,0.441,0.881,1239.8,1185.6,54.2,11.284,5642.0,4290.0,5,21452.0,2008-04-24,1388.82,False,5357.0,0.25
2008-05-01,1409.34,18.88,0.1526,0.122,0.244,1358.1,1316.6,41.5,8.291,1658.0,3316.0,2,6632.0,2008-06-13,1360.03,False,1573.0,0.237
2008-05-22,1394.35,18.05,0.1351,0.398,0.795,1346.0,1306.7,39.3,7.83,5481.0,3147.0,7,22032.0,2008-07-07,1252.31,True,-22315.0,-1.013
