test,metric,n_trials,n_valid,seed,mean,median,p5,p95
entry_jitter,sharpe,200,200,20260623,1.3845733442284465,1.3692069744861524,1.1944566947287314,1.597215429535873
block_bootstrap,sharpe_bootstrap,500,500,20260623,1.7214102678817425,1.6705916805958907,1.0503884616519712,2.5368594800927147
random_start,sharpe,200,200,20260623,2.000026389038268,1.9690264910833322,1.6042654916598835,2.7272472354582913
random_start_bear,sharpe,200,200,20260623,1.7504609077944218,1.6523542871576975,1.6183653565695502,2.020365538358918
config_perturb,sharpe,200,200,20260623,1.3714049586516135,1.3897108358776686,1.0509329640730238,1.642863031702857
baseline_iter3_spx,sharpe,1,1,20260623,1.6799501117798388,1.6799501117798388,1.6799501117798388,1.6799501117798388
baseline_spy_buyhold,sharpe,1,1,20260623,0.6202475749011619,0.6202475749011619,0.6202475749011619,0.6202475749011619
